name,card_id,rare
電磁石の戦士α,SDMY-JP001,Super
電磁石の戦士β,SDMY-JP002,Super
電磁石の戦士γ,SDMY-JP003,Super
電磁石の戦士マグネット・ベルセリオン,SDMY-JP004,Ultra
クリボーン,SDMY-JP005,N-Parallel
磁石の戦士マグネット・バルキリオン,SDMY-JP006,Normal
磁石の戦士α,SDMY-JP007,Normal
磁石の戦士β,SDMY-JP008,Normal
磁石の戦士γ,SDMY-JP009,Normal
ブラック・マジシャン,SDMY-JP010,N-Parallel
ブラック・マジシャン・ガール,SDMY-JP011,Normal
バスター・ブレイダー,SDMY-JP012,Normal
暗黒騎士ガイア,SDMY-JP013,Normal
カース・オブ・ドラゴン,SDMY-JP014,Normal
ジャックス・ナイト,SDMY-JP015,Normal
クィーンズ・ナイト,SDMY-JP016,Normal
キングス・ナイト,SDMY-JP017,Normal
バフォメット,SDMY-JP018,Normal
幻獣王ガゼル,SDMY-JP019,Normal
翻弄するエルフの剣士,SDMY-JP020,Normal
マグネット・フィールド,SDMY-JP021,N-Parallel
黒魔術の継承,SDMY-JP022,N-Parallel
黒・魔・導,SDMY-JP023,Normal
黒魔術のカーテン,SDMY-JP024,Normal
死のマジック・ボックス,SDMY-JP025,Normal
死者蘇生,SDMY-JP026,Normal
光の護封剣,SDMY-JP027,Normal
手札抹殺,SDMY-JP028,Normal
天よりの宝札,SDMY-JP029,Normal
魔法効果の矢,SDMY-JP030,Normal
融合,SDMY-JP031,Normal
融合解除,SDMY-JP032,Normal
マグネット・コンバージョン,SDMY-JP033,N-Parallel
マジシャンズ・サークル,SDMY-JP034,Normal
聖なるバリア −ミラーフォース−,SDMY-JP035,Normal
魔法の筒,SDMY-JP036,Normal
マジカルシルクハット,SDMY-JP037,Normal
光の封札剣,SDMY-JP038,Normal
連鎖破壊,SDMY-JP039,Normal
魂の綱,SDMY-JP040,Normal
超電導戦機インペリオン・マグナム,SDMY-JP041,Ultra
アルカナ ナイトジョーカー,SDMY-JP042,N-Parallel
超魔導剣士−ブラック・パラディン,SDMY-JP043,Normal
竜騎士ガイア,SDMY-JP044,Normal
有翼幻獣キマイラ,SDMY-JP045,Normal
電磁石の戦士α,SDMY-JP001,Super
電磁石の戦士β,SDMY-JP002,Super
電磁石の戦士γ,SDMY-JP003,Super
電磁石の戦士マグネット・ベルセリオン,SDMY-JP004,Ultra
クリボーン,SDMY-JP005,N-Parallel
磁石の戦士マグネット・バルキリオン,SDMY-JP006,Normal
磁石の戦士α,SDMY-JP007,Normal
磁石の戦士β,SDMY-JP008,Normal
磁石の戦士γ,SDMY-JP009,Normal
ブラック・マジシャン,SDMY-JP010,N-Parallel
ブラック・マジシャン・ガール,SDMY-JP011,Normal
バスター・ブレイダー,SDMY-JP012,Normal
暗黒騎士ガイア,SDMY-JP013,Normal
カース・オブ・ドラゴン,SDMY-JP014,Normal
ジャックス・ナイト,SDMY-JP015,Normal
クィーンズ・ナイト,SDMY-JP016,Normal
キングス・ナイト,SDMY-JP017,Normal
バフォメット,SDMY-JP018,Normal
幻獣王ガゼル,SDMY-JP019,Normal
翻弄するエルフの剣士,SDMY-JP020,Normal
マグネット・フィールド,SDMY-JP021,N-Parallel
黒魔術の継承,SDMY-JP022,N-Parallel
黒・魔・導,SDMY-JP023,Normal
黒魔術のカーテン,SDMY-JP024,Normal
死のマジック・ボックス,SDMY-JP025,Normal
死者蘇生,SDMY-JP026,Normal
光の護封剣,SDMY-JP027,Normal
手札抹殺,SDMY-JP028,Normal
天よりの宝札,SDMY-JP029,Normal
魔法効果の矢,SDMY-JP030,Normal
融合,SDMY-JP031,Normal
融合解除,SDMY-JP032,Normal
マグネット・コンバージョン,SDMY-JP033,N-Parallel
マジシャンズ・サークル,SDMY-JP034,Normal
聖なるバリア −ミラーフォース−,SDMY-JP035,Normal
魔法の筒,SDMY-JP036,Normal
マジカルシルクハット,SDMY-JP037,Normal
光の封札剣,SDMY-JP038,Normal
連鎖破壊,SDMY-JP039,Normal
魂の綱,SDMY-JP040,Normal
超電導戦機インペリオン・マグナム,SDMY-JP041,Ultra
アルカナ ナイトジョーカー,SDMY-JP042,N-Parallel
超魔導剣士−ブラック・パラディン,SDMY-JP043,Normal
竜騎士ガイア,SDMY-JP044,Normal
有翼幻獣キマイラ,SDMY-JP045,Normal
