name,card_id,rare
海竜神−ネオダイダロス,SD4-JP001,Ultra
レインボー・フィッシュ,SD4-JP002,Normal
暗黒の海竜兵,SD4-JP003,Normal
スペースマンボウ,SD4-JP004,Normal
グリズリーマザー,SD4-JP005,Normal
スター・ボーイ,SD4-JP006,Normal
同族感染ウィルス,SD4-JP007,Normal
フェンリル,SD4-JP008,Normal
水陸両用バグロス Ｍｋ−３,SD4-JP009,Normal
海竜−ダイダロス,SD4-JP010,Normal
マーメイド・ナイト,SD4-JP011,Normal
氷帝メビウス,SD4-JP012,Normal
ヒゲアンコウ,SD4-JP013,Normal
忍び寄るデビルマンタ,SD4-JP014,Normal
強奪,SD4-JP015,Normal
サイクロン,SD4-JP016,Normal
早すぎた埋葬,SD4-JP017,Normal
強欲な壺,SD4-JP018,Normal
大嵐,SD4-JP019,Normal
伝説の都 アトランティス,SD4-JP020,Normal
強制転移,SD4-JP021,Normal
リロード,SD4-JP022,Normal
サルベージ,SD4-JP023,Normal
ハンマーシュート,SD4-JP024,Normal
大波小波,SD4-JP025,Normal
砂塵の大竜巻,SD4-JP026,Normal
リビングデッドの呼び声,SD4-JP027,Normal
グラヴィティ・バインド−超重力の網−,SD4-JP028,Normal
竜巻海流壁,SD4-JP029,Normal
激流葬,SD4-JP030,Normal
八式対魔法多重結界,SD4-JP031,Normal
心鎮壷,SD4-JP032,Normal
海竜神−ネオダイダロス,SD4-JP001,Ultra
レインボー・フィッシュ,SD4-JP002,Normal
暗黒の海竜兵,SD4-JP003,Normal
スペースマンボウ,SD4-JP004,Normal
グリズリーマザー,SD4-JP005,Normal
スター・ボーイ,SD4-JP006,Normal
同族感染ウィルス,SD4-JP007,Normal
フェンリル,SD4-JP008,Normal
水陸両用バグロス Ｍｋ−３,SD4-JP009,Normal
海竜−ダイダロス,SD4-JP010,Normal
マーメイド・ナイト,SD4-JP011,Normal
氷帝メビウス,SD4-JP012,Normal
ヒゲアンコウ,SD4-JP013,Normal
忍び寄るデビルマンタ,SD4-JP014,Normal
強奪,SD4-JP015,Normal
サイクロン,SD4-JP016,Normal
早すぎた埋葬,SD4-JP017,Normal
強欲な壺,SD4-JP018,Normal
大嵐,SD4-JP019,Normal
伝説の都 アトランティス,SD4-JP020,Normal
強制転移,SD4-JP021,Normal
リロード,SD4-JP022,Normal
サルベージ,SD4-JP023,Normal
ハンマーシュート,SD4-JP024,Normal
大波小波,SD4-JP025,Normal
砂塵の大竜巻,SD4-JP026,Normal
リビングデッドの呼び声,SD4-JP027,Normal
グラヴィティ・バインド−超重力の網−,SD4-JP028,Normal
竜巻海流壁,SD4-JP029,Normal
激流葬,SD4-JP030,Normal
八式対魔法多重結界,SD4-JP031,Normal
心鎮壷,SD4-JP032,Normal
