name,card_id,rare
ヘルフレイムエンペラー,SD3-JP001,Ultra
グレート・アンガス,SD3-JP002,Normal
火炎木人１８,SD3-JP003,Normal
ＵＦＯタートル,SD3-JP004,Normal
リトル・キメラ,SD3-JP005,Normal
インフェルノ,SD3-JP006,Normal
灼熱ゾンビ,SD3-JP007,Normal
プロミネンス・ドラゴン,SD3-JP008,Normal
超熱血球児,SD3-JP009,Normal
逆巻く炎の精霊,SD3-JP010,Normal
炎帝テスタロス,SD3-JP011,Normal
爆炎集合体 ガイヤ・ソウル,SD3-JP012,Normal
きつね火,SD3-JP013,Normal
強奪,SD3-JP014,Normal
サイクロン,SD3-JP015,Normal
バーニングブラッド,SD3-JP016,Normal
抹殺の使徒,SD3-JP017,Normal
早すぎた埋葬,SD3-JP018,Normal
強欲な壺,SD3-JP019,Normal
死者への手向け,SD3-JP020,Normal
大嵐,SD3-JP021,Normal
悪夢の拷問部屋,SD3-JP022,Normal
リロード,SD3-JP023,Normal
レベル制限Ｂ地区,SD3-JP024,Normal
与奪の首飾り,SD3-JP025,Normal
デス・メテオ,SD3-JP026,Normal
砂塵の大竜巻,SD3-JP027,Normal
リビングデッドの呼び声,SD3-JP028,Normal
強欲な瓶,SD3-JP029,Normal
八式対魔法多重結界,SD3-JP030,Normal
バックファイア,SD3-JP031,Normal
ヘルフレイムエンペラー,SD3-JP001,Ultra
グレート・アンガス,SD3-JP002,Normal
火炎木人１８,SD3-JP003,Normal
ＵＦＯタートル,SD3-JP004,Normal
リトル・キメラ,SD3-JP005,Normal
インフェルノ,SD3-JP006,Normal
灼熱ゾンビ,SD3-JP007,Normal
プロミネンス・ドラゴン,SD3-JP008,Normal
超熱血球児,SD3-JP009,Normal
逆巻く炎の精霊,SD3-JP010,Normal
炎帝テスタロス,SD3-JP011,Normal
爆炎集合体 ガイヤ・ソウル,SD3-JP012,Normal
きつね火,SD3-JP013,Normal
強奪,SD3-JP014,Normal
サイクロン,SD3-JP015,Normal
バーニングブラッド,SD3-JP016,Normal
抹殺の使徒,SD3-JP017,Normal
早すぎた埋葬,SD3-JP018,Normal
強欲な壺,SD3-JP019,Normal
死者への手向け,SD3-JP020,Normal
大嵐,SD3-JP021,Normal
悪夢の拷問部屋,SD3-JP022,Normal
リロード,SD3-JP023,Normal
レベル制限Ｂ地区,SD3-JP024,Normal
与奪の首飾り,SD3-JP025,Normal
デス・メテオ,SD3-JP026,Normal
砂塵の大竜巻,SD3-JP027,Normal
リビングデッドの呼び声,SD3-JP028,Normal
強欲な瓶,SD3-JP029,Normal
八式対魔法多重結界,SD3-JP030,Normal
バックファイア,SD3-JP031,Normal
