name,card_id,rare
地霊使いアウス,SD39-JP001,N-Parallel
水霊使いエリア,SD39-JP002,N-Parallel
火霊使いヒータ,SD39-JP003,N-Parallel
風霊使いウィン,SD39-JP004,N-Parallel
憑依覚醒−デーモン・リーパー,SD39-JP005,Super
憑依覚醒−大稲荷火,SD39-JP006,Super
デーモン・イーター,SD39-JP007,Normal
ジゴバイト,SD39-JP008,Normal
稲荷火,SD39-JP009,Normal
ランリュウ,SD39-JP010,Normal
妖精伝姫−ターリア,SD39-JP011,Normal
妖精伝姫−シンデレラ,SD39-JP012,Normal
妖精伝姫−カグヤ,SD39-JP013,Normal
ウィッチクラフトゴーレム・アルル,SD39-JP014,Normal
ダーク・ドリアード,SD39-JP015,Normal
黒き森のウィッチ,SD39-JP016,Normal
エフェクト・ヴェーラー,SD39-JP017,Normal
サタンクロース,SD39-JP018,Normal
電光−雪花−,SD39-JP019,Normal
クリッター,SD39-JP020,Normal
大霊術−「一輪」,SD39-JP021,Super
憑依覚醒,SD39-JP022,N-Parallel
魔法族の里,SD39-JP023,Normal
ワンダー・ワンド,SD39-JP024,Normal
ルドラの魔導書,SD39-JP025,Normal
テラ・フォーミング,SD39-JP026,Normal
皆既日蝕の書,SD39-JP027,Normal
大熱波,SD39-JP028,Normal
ツインツイスター,SD39-JP029,Normal
冥王結界波,SD39-JP030,Normal
憑依連携,SD39-JP031,Super
憑依解放,SD39-JP032,N-Parallel
地霊術−「鉄」,SD39-JP033,Normal
水霊術−「葵」,SD39-JP034,Normal
火霊術−「紅」,SD39-JP035,Normal
風霊術−「雅」,SD39-JP036,Normal
メタバース,SD39-JP037,Normal
次元障壁,SD39-JP038,Normal
拮抗勝負,SD39-JP039,Normal
神の警告,SD39-JP040,Normal
地霊使いアウス,SD39-JP001,N-Parallel
水霊使いエリア,SD39-JP002,N-Parallel
火霊使いヒータ,SD39-JP003,N-Parallel
風霊使いウィン,SD39-JP004,N-Parallel
憑依覚醒−デーモン・リーパー,SD39-JP005,Super
憑依覚醒−大稲荷火,SD39-JP006,Super
デーモン・イーター,SD39-JP007,Normal
ジゴバイト,SD39-JP008,Normal
稲荷火,SD39-JP009,Normal
ランリュウ,SD39-JP010,Normal
妖精伝姫−ターリア,SD39-JP011,Normal
妖精伝姫−シンデレラ,SD39-JP012,Normal
妖精伝姫−カグヤ,SD39-JP013,Normal
ウィッチクラフトゴーレム・アルル,SD39-JP014,Normal
ダーク・ドリアード,SD39-JP015,Normal
黒き森のウィッチ,SD39-JP016,Normal
エフェクト・ヴェーラー,SD39-JP017,Normal
サタンクロース,SD39-JP018,Normal
電光−雪花−,SD39-JP019,Normal
クリッター,SD39-JP020,Normal
大霊術−「一輪」,SD39-JP021,Super
憑依覚醒,SD39-JP022,N-Parallel
魔法族の里,SD39-JP023,Normal
ワンダー・ワンド,SD39-JP024,Normal
ルドラの魔導書,SD39-JP025,Normal
テラ・フォーミング,SD39-JP026,Normal
皆既日蝕の書,SD39-JP027,Normal
大熱波,SD39-JP028,Normal
ツインツイスター,SD39-JP029,Normal
冥王結界波,SD39-JP030,Normal
憑依連携,SD39-JP031,Super
憑依解放,SD39-JP032,N-Parallel
地霊術−「鉄」,SD39-JP033,Normal
水霊術−「葵」,SD39-JP034,Normal
火霊術−「紅」,SD39-JP035,Normal
風霊術−「雅」,SD39-JP036,Normal
メタバース,SD39-JP037,Normal
次元障壁,SD39-JP038,Normal
拮抗勝負,SD39-JP039,Normal
神の警告,SD39-JP040,Normal
