name,card_id,rare
天空勇士ネオパーシアス,SD11-JP001,Ultra
天空聖者メルティウス,SD11-JP002,Normal
智天使ハーヴェスト,SD11-JP003,Normal
勝利の導き手フレイヤ,SD11-JP004,Normal
コーリング・ノヴァ,SD11-JP005,Normal
ホーリー・ジェラル,SD11-JP006,Normal
ジェルエンデュオ,SD11-JP007,Normal
デュナミス・ヴァルキリア,SD11-JP008,Normal
シャインエンジェル,SD11-JP009,Normal
神聖なる魂,SD11-JP010,Normal
天空騎士パーシアス,SD11-JP011,Normal
守護天使 ジャンヌ,SD11-JP012,Normal
力の代行者 マーズ,SD11-JP013,Normal
吸収天児,SD11-JP014,Normal
ロイヤルナイツ,SD11-JP015,Normal
豊穣のアルテミス,SD11-JP016,Normal
救済のレイヤード,SD11-JP017,Normal
裁きを下す者−ボルテニス,SD11-JP018,Normal
サイクロン,SD11-JP019,Normal
抹殺の使徒,SD11-JP020,Normal
早すぎた埋葬,SD11-JP021,Normal
光の護封剣,SD11-JP022,Normal
大嵐,SD11-JP023,Normal
テラ・フォーミング,SD11-JP024,Normal
ダグラの剣,SD11-JP025,Normal
天空の聖域,SD11-JP026,Normal
ライトニング・ボルテックス,SD11-JP027,Normal
打ち出の小槌,SD11-JP028,Normal
女神の加護,SD11-JP029,Normal
万能地雷グレイモヤ,SD11-JP030,Normal
攻撃の無力化,SD11-JP031,Normal
神の宣告,SD11-JP032,Normal
マジック・ジャマー,SD11-JP033,Normal
盗賊の七つ道具,SD11-JP034,Normal
光の召集,SD11-JP035,Normal
天罰,SD11-JP036,Normal
天空勇士ネオパーシアス,SD11-JP001,Ultra
天空聖者メルティウス,SD11-JP002,Normal
智天使ハーヴェスト,SD11-JP003,Normal
勝利の導き手フレイヤ,SD11-JP004,Normal
コーリング・ノヴァ,SD11-JP005,Normal
ホーリー・ジェラル,SD11-JP006,Normal
ジェルエンデュオ,SD11-JP007,Normal
デュナミス・ヴァルキリア,SD11-JP008,Normal
シャインエンジェル,SD11-JP009,Normal
神聖なる魂,SD11-JP010,Normal
天空騎士パーシアス,SD11-JP011,Normal
守護天使 ジャンヌ,SD11-JP012,Normal
力の代行者 マーズ,SD11-JP013,Normal
吸収天児,SD11-JP014,Normal
ロイヤルナイツ,SD11-JP015,Normal
豊穣のアルテミス,SD11-JP016,Normal
救済のレイヤード,SD11-JP017,Normal
裁きを下す者−ボルテニス,SD11-JP018,Normal
サイクロン,SD11-JP019,Normal
抹殺の使徒,SD11-JP020,Normal
早すぎた埋葬,SD11-JP021,Normal
光の護封剣,SD11-JP022,Normal
大嵐,SD11-JP023,Normal
テラ・フォーミング,SD11-JP024,Normal
ダグラの剣,SD11-JP025,Normal
天空の聖域,SD11-JP026,Normal
ライトニング・ボルテックス,SD11-JP027,Normal
打ち出の小槌,SD11-JP028,Normal
女神の加護,SD11-JP029,Normal
万能地雷グレイモヤ,SD11-JP030,Normal
攻撃の無力化,SD11-JP031,Normal
神の宣告,SD11-JP032,Normal
マジック・ジャマー,SD11-JP033,Normal
盗賊の七つ道具,SD11-JP034,Normal
光の召集,SD11-JP035,Normal
天罰,SD11-JP036,Normal
