name,card_id,rare
青眼の白龍,SD25-JP001,Ultra
ラビードラゴン,SD25-JP002,Normal
アレキサンドライドラゴン,SD25-JP003,Normal
ガード・オブ・フレムベル,SD25-JP004,Normal
青き眼の乙女,SD25-JP005,Super
暴風竜の防人,SD25-JP006,Rare
ダークストーム・ドラゴン,SD25-JP007,Normal
創世竜,SD25-JP008,Normal
ミラージュ・ドラゴン,SD25-JP009,Normal
神竜 アポカリプス,SD25-JP010,Normal
ハードアームドラゴン,SD25-JP011,Normal
伝説の白石,SD25-JP012,Normal
正義の味方 カイバーマン,SD25-JP013,Normal
創世の預言者,SD25-JP014,Normal
カイザー・シーホース,SD25-JP015,Normal
オネスト,SD25-JP016,Normal
シャインエンジェル,SD25-JP017,Normal
増殖するＧ,SD25-JP018,Normal
レベル・スティーラー,SD25-JP019,Normal
竜の霊廟,SD25-JP020,Super
銀龍の轟咆,SD25-JP021,Rare
滅びの爆裂疾風弾,SD25-JP022,Normal
竜の渓谷,SD25-JP023,Normal
テラ・フォーミング,SD25-JP024,Normal
巨竜の羽ばたき,SD25-JP025,Normal
トレード・イン,SD25-JP026,Normal
調和の宝札,SD25-JP027,Normal
馬の骨の対価,SD25-JP028,Normal
戦線復活の代償,SD25-JP029,Normal
ワン・フォー・ワン,SD25-JP030,Normal
死者蘇生,SD25-JP031,Normal
クロス・ソウル,SD25-JP032,Normal
エネミーコントローラー,SD25-JP033,Normal
竜魂の城,SD25-JP034,Rare
デモンズ・チェーン,SD25-JP035,Normal
鎖付きブーメラン,SD25-JP036,Normal
ダメージ・コンデンサー,SD25-JP037,Normal
リビングデッドの呼び声,SD25-JP038,Normal
王者の看破,SD25-JP039,Normal
蒼眼の銀龍,SD25-JP040,Ultra
青眼の白龍,SD25-JP001,Ultra
ラビードラゴン,SD25-JP002,Normal
アレキサンドライドラゴン,SD25-JP003,Normal
ガード・オブ・フレムベル,SD25-JP004,Normal
青き眼の乙女,SD25-JP005,Super
暴風竜の防人,SD25-JP006,Rare
ダークストーム・ドラゴン,SD25-JP007,Normal
創世竜,SD25-JP008,Normal
ミラージュ・ドラゴン,SD25-JP009,Normal
神竜 アポカリプス,SD25-JP010,Normal
ハードアームドラゴン,SD25-JP011,Normal
伝説の白石,SD25-JP012,Normal
正義の味方 カイバーマン,SD25-JP013,Normal
創世の預言者,SD25-JP014,Normal
カイザー・シーホース,SD25-JP015,Normal
オネスト,SD25-JP016,Normal
シャインエンジェル,SD25-JP017,Normal
増殖するＧ,SD25-JP018,Normal
レベル・スティーラー,SD25-JP019,Normal
竜の霊廟,SD25-JP020,Super
銀龍の轟咆,SD25-JP021,Rare
滅びの爆裂疾風弾,SD25-JP022,Normal
竜の渓谷,SD25-JP023,Normal
テラ・フォーミング,SD25-JP024,Normal
巨竜の羽ばたき,SD25-JP025,Normal
トレード・イン,SD25-JP026,Normal
調和の宝札,SD25-JP027,Normal
馬の骨の対価,SD25-JP028,Normal
戦線復活の代償,SD25-JP029,Normal
ワン・フォー・ワン,SD25-JP030,Normal
死者蘇生,SD25-JP031,Normal
クロス・ソウル,SD25-JP032,Normal
エネミーコントローラー,SD25-JP033,Normal
竜魂の城,SD25-JP034,Rare
デモンズ・チェーン,SD25-JP035,Normal
鎖付きブーメラン,SD25-JP036,Normal
ダメージ・コンデンサー,SD25-JP037,Normal
リビングデッドの呼び声,SD25-JP038,Normal
王者の看破,SD25-JP039,Normal
蒼眼の銀龍,SD25-JP040,Ultra
