name,card_id,rare
黒魔導の執行官,SD6-JP001,Ultra
魔導獣 ケルベロス,SD6-JP002,Normal
ブラック・マジシャン,SD6-JP003,Normal
ヂェミナイ・エルフ,SD6-JP004,Normal
聖なる魔術師,SD6-JP005,Normal
熟練の黒魔術師,SD6-JP006,Normal
見習い魔術師,SD6-JP007,Normal
カオス・マジシャン,SD6-JP008,Normal
魔導戦士 ブレイカー,SD6-JP009,Normal
王立魔法図書館,SD6-JP010,Normal
月読命,SD6-JP011,Normal
カオス・ソーサラー,SD6-JP012,Normal
白魔導士ピケル,SD6-JP013,Normal
ブラッド・マジシャン−煉獄の魔術師−,SD6-JP014,Normal
黒魔導師クラン,SD6-JP015,Normal
連弾の魔術師,SD6-JP016,Normal
マジックブラスト,SD6-JP017,Normal
サイクロン,SD6-JP018,Normal
抹殺の使徒,SD6-JP019,Normal
早すぎた埋葬,SD6-JP020,Normal
光の護封剣,SD6-JP021,Normal
魔導師の力,SD6-JP022,Normal
大嵐,SD6-JP023,Normal
拡散する波動,SD6-JP024,Normal
リロード,SD6-JP025,Normal
黒・魔・導,SD6-JP026,Normal
魔法吸収,SD6-JP027,Normal
ライトニング・ボルテックス,SD6-JP028,Normal
ディメンション・マジック,SD6-JP029,Normal
死のマジック・ボックス,SD6-JP030,Normal
悪夢の鉄檻,SD6-JP031,Normal
リビングデッドの呼び声,SD6-JP032,Normal
八式対魔法多重結界,SD6-JP033,Normal
漆黒のパワーストーン,SD6-JP034,Normal
天罰,SD6-JP035,Normal
魔法の筒,SD6-JP036,Normal
黒魔導の執行官,SD6-JP001,Ultra
魔導獣 ケルベロス,SD6-JP002,Normal
ブラック・マジシャン,SD6-JP003,Normal
ヂェミナイ・エルフ,SD6-JP004,Normal
聖なる魔術師,SD6-JP005,Normal
熟練の黒魔術師,SD6-JP006,Normal
見習い魔術師,SD6-JP007,Normal
カオス・マジシャン,SD6-JP008,Normal
魔導戦士 ブレイカー,SD6-JP009,Normal
王立魔法図書館,SD6-JP010,Normal
月読命,SD6-JP011,Normal
カオス・ソーサラー,SD6-JP012,Normal
白魔導士ピケル,SD6-JP013,Normal
ブラッド・マジシャン−煉獄の魔術師−,SD6-JP014,Normal
黒魔導師クラン,SD6-JP015,Normal
連弾の魔術師,SD6-JP016,Normal
マジックブラスト,SD6-JP017,Normal
サイクロン,SD6-JP018,Normal
抹殺の使徒,SD6-JP019,Normal
早すぎた埋葬,SD6-JP020,Normal
光の護封剣,SD6-JP021,Normal
魔導師の力,SD6-JP022,Normal
大嵐,SD6-JP023,Normal
拡散する波動,SD6-JP024,Normal
リロード,SD6-JP025,Normal
黒・魔・導,SD6-JP026,Normal
魔法吸収,SD6-JP027,Normal
ライトニング・ボルテックス,SD6-JP028,Normal
ディメンション・マジック,SD6-JP029,Normal
死のマジック・ボックス,SD6-JP030,Normal
悪夢の鉄檻,SD6-JP031,Normal
リビングデッドの呼び声,SD6-JP032,Normal
八式対魔法多重結界,SD6-JP033,Normal
漆黒のパワーストーン,SD6-JP034,Normal
天罰,SD6-JP035,Normal
魔法の筒,SD6-JP036,Normal
