name,card_id,rare
ＥＭセカンドンキー,DOCS-JP001,Rare
ＥＭマンモスプラッシュ,DOCS-JP002,Rare
ＥＭヘルプリンセス,DOCS-JP003,Rare
超重武者ヌス－１０,DOCS-JP004,nomal
超重武者ヒキャ－Ｑ,DOCS-JP005,nomal
超重武者ツヅ－３,DOCS-JP006,nomal
超重武者装留ダブル・ホーン,DOCS-JP007,nomal
超重武者装留シャイン・クロー,DOCS-JP008,nomal
ファーニマル・ウィング,DOCS-JP009,nomal
ＤＤバフォメット,DOCS-JP010,Rare
ＤＤスワラル・スライム,DOCS-JP011,nomal
ＤＤネクロ・スライム,DOCS-JP012,nomal
ＲＲ－ワイルド・ヴァルチャー,DOCS-JP013,nomal
ＲＲ－スカル・イーグル,DOCS-JP014,nomal
Ｅｍミラー・コンダクター,DOCS-JP015,nomal
Ｅｍヒグルミ,DOCS-JP016,nomal
伝説のフィッシャーマン三世,DOCS-JP017,Rare
Ａ ＢＦ－霧雨のクナイ,DOCS-JP018,Rare
疾走の暗黒騎士ガイア,DOCS-JP019,Super
疾走の暗黒騎士ガイア,DOCS-JP019,Secret
クリボール,DOCS-JP020,Rare
超戦士の魂,DOCS-JP021,nomal
開闢の騎士,DOCS-JP022,nomal
宵闇の騎士,DOCS-JP023,nomal
竜魔王ベクターＰ,DOCS-JP024,Super
竜魔王ベクターＰ,DOCS-JP024,Secret
マジェスペクター・キャット,DOCS-JP025,Rare
マジェスペクター・ラクーン,DOCS-JP026,nomal
マジェスペクター・クロウ,DOCS-JP027,nomal
マジェスペクター・フォックス,DOCS-JP028,nomal
マジェスペクター・ユニコーン,DOCS-JP029,Rare
イグナイト・デリンジャー,DOCS-JP030,nomal
イグナイト・ウージー,DOCS-JP031,nomal
グレイドル・スライム,DOCS-JP032,Rare
グレイドル・アリゲーター,DOCS-JP033,nomal
グレイドル・コブラ,DOCS-JP034,nomal
グレイドル・イーグル,DOCS-JP035,nomal
熟練の赤魔術士,DOCS-JP036,nomal
竜宮のツガイ,DOCS-JP037,Super
竜宮のツガイ,DOCS-JP037,Secret
トゥーン・リボルバー・ドラゴン,DOCS-JP038,Rare
ブンボーグ００６,DOCS-JP039,nomal
禁忌の壺,DOCS-JP040,N-Rare
Ｄｒ.フランゲ,DOCS-JP041,N-Rare
超戦士カオス・ソルジャー,DOCS-JP042,Ultra
超戦士カオス・ソルジャー,DOCS-JP042,Ultimate
超戦士カオス・ソルジャー,DOCS-JP042,Secret
デストーイ・サーベル・タイガー,DOCS-JP043,Rare
ＤＤＤ怒濤壊薙王カエサル・ラグナロク,DOCS-JP044,Super
ＤＤＤ怒濤壊薙王カエサル・ラグナロク,DOCS-JP044,Secret
オッドアイズ・ボルテックス・ドラゴン,DOCS-JP045,Ultra
オッドアイズ・ボルテックス・ドラゴン,DOCS-JP045,Ultimate
オッドアイズ・ボルテックス・ドラゴン,DOCS-JP045,Secret
レッド・デーモンズ・ドラゴン・スカーライト,DOCS-JP046,Ultra
レッド・デーモンズ・ドラゴン・スカーライト,DOCS-JP046,Ultimate
レッド・デーモンズ・ドラゴン・スカーライト,DOCS-JP046,Secret
レッド・デーモンズ・ドラゴン・スカーライト,DOCS-JP046,Holographic
Ａ ＢＦ－驟雨のライキリ,DOCS-JP047,Ultra
Ａ ＢＦ－驟雨のライキリ,DOCS-JP047,Ultimate
Ａ ＢＦ－驟雨のライキリ,DOCS-JP047,Secret
グレイドル・ドラゴン,DOCS-JP048,Super
