name,card_id,rare
Ｒ－ＡＣＥインパルス,DBAD-JP001,Super
Ｒ－ＡＣＥエアホイスター,DBAD-JP002,nomal
Ｒ－ＡＣＥイントルーダー,DBAD-JP003,Super
Ｒ－ＡＣＥハイドラント,DBAD-JP004,Super
Ｒ－ＡＣＥファイア・アタッカー,DBAD-JP005,nomal
Ｒ－ＡＣＥファイア・エンジン,DBAD-JP006,Super
Ｒ－ＡＣＥタービュランス,DBAD-JP007,Ultra
Ｒ－ＡＣＥタービュランス,DBAD-JP007,Secret
Ｒ－ＡＣＥヘッドクオーター,DBAD-JP008,nomal
ＲＥＳＣＵＥ！,DBAD-JP009,nomal
ＡＬＥＲＴ！,DBAD-JP010,nomal
ＣＯＮＴＡＩＮ！,DBAD-JP011,nomal
ＥＸＴＩＮＧＵＩＳＨ！,DBAD-JP012,nomal
ピュアリィ,DBAD-JP013,nomal
エピュアリィ・ハピネス,DBAD-JP014,nomal
エピュアリィ・ビューティ,DBAD-JP015,Super
エピュアリィ・プランプ,DBAD-JP016,Super
エクスピュアリィ・ハピネス,DBAD-JP017,Ultra
エクスピュアリィ・ハピネス,DBAD-JP017,Secret
エクスピュアリィ・ノアール,DBAD-JP018,Super
ストレイ・ピュアリィ・ストリート,DBAD-JP019,nomal
ピュアリィ・マイフレンド,DBAD-JP020,Super
ピュアリィ・ハッピーメモリー,DBAD-JP021,nomal
ピュアリィ・プリティメモリー,DBAD-JP022,nomal
ピュアリィ・デリシャスメモリー,DBAD-JP023,nomal
ピュアリィープ！？,DBAD-JP024,nomal
剣の御巫ハレ,DBAD-JP025,Super
鏡の御巫ニニ,DBAD-JP026,Super
オオヒメの御巫,DBAD-JP027,Ultra
オオヒメの御巫,DBAD-JP027,Secret
天御巫の闔,DBAD-JP028,nomal
伝承の大御巫,DBAD-JP029,nomal
御巫の火叢舞,DBAD-JP030,Super
御巫の祓舞,DBAD-JP031,nomal
御巫の水舞踏,DBAD-JP032,Super
御巫の誘い輪舞,DBAD-JP033,nomal
御巫神楽,DBAD-JP034,nomal
御巫の契り,DBAD-JP035,nomal
御巫かみくらべ,DBAD-JP036,nomal
機巧鳥－常世宇受賣長鳴,DBAD-JP037,nomal
焔聖騎士－リナルド,DBAD-JP038,nomal
増援,DBAD-JP039,nomal
ワン・フォー・ワン,DBAD-JP040,nomal
アームズ・ホール,DBAD-JP041,nomal
『焔聖剣－デュランダル』,DBAD-JP042,nomal
脆刃の剣,DBAD-JP043,nomal
エクシーズ・インポート,DBAD-JP044,nomal
エクシーズ・トライバル,DBAD-JP045,nomal
