name,card_id,rare
溟界の滓－ヌル,DBAG-JP001,Super
溟界の滓－ナイア,DBAG-JP002,Super
溟界の漠－フロギ,DBAG-JP003,nomal
溟界の漠－ゾーハ,DBAG-JP004,nomal
溟界の黄昏－カース,DBAG-JP005,Super
溟界の昏闇－アレート,DBAG-JP006,nomal
溟界王－アロン,DBAG-JP007,Super
溟界妃－アミュネシア,DBAG-JP008,nomal
溟界神－オグドアビス,DBAG-JP009,Ultra
溟界神－オグドアビス,DBAG-JP009,Secret
溟界の蛇睡蓮,DBAG-JP010,Super
溟界の淵源,DBAG-JP011,nomal
溟界の虚,DBAG-JP012,nomal
溟界の呼び蛟,DBAG-JP013,nomal
ドドレミコード・キューティア,DBAG-JP014,Super
レドレミコード・ドリーミア,DBAG-JP015,nomal
ミドレミコード・エリーティア,DBAG-JP016,nomal
ファドレミコード・ファンシア,DBAG-JP017,nomal
ソドレミコード・グレーシア,DBAG-JP018,Super
ラドレミコード・エンジェリア,DBAG-JP019,nomal
シドレミコード・ビューティア,DBAG-JP020,nomal
ドドレミコード・クーリア,DBAG-JP021,Ultra
ドドレミコード・クーリア,DBAG-JP021,Secret
ドレミコード・エレガンス,DBAG-JP022,Super
ドレミコード・スケール,DBAG-JP023,nomal
ドレミコード・ハルモニア,DBAG-JP024,nomal
ドレミコード・ムジカ,DBAG-JP025,nomal
ドレミコード・フォーマル,DBAG-JP026,nomal
ベアルクティ－ミクポーラ,DBAG-JP027,Super
ベアルクティ－ミクタナス,DBAG-JP028,nomal
ベアルクティ－ミクビリス,DBAG-JP029,nomal
ベアルクティ－メガポーラ,DBAG-JP030,nomal
ベアルクティ－メガタナス,DBAG-JP031,nomal
ベアルクティ－メガビリス,DBAG-JP032,nomal
ベアルクティ－ポラリィ,DBAG-JP033,Super
ベアルクティ－セプテン＝トリオン,DBAG-JP034,Ultra
ベアルクティ－セプテン＝トリオン,DBAG-JP034,Secret
ベアルクティ－グラン＝シャリオ,DBAG-JP035,Super
ベアルクティ・ディパーチャー,DBAG-JP036,Super
ベアルクティ・スライダー,DBAG-JP037,nomal
ベアルクティ・ビッグディッパー,DBAG-JP038,nomal
ベアルクティ・クィントチャージ,DBAG-JP039,nomal
クリスタル・ガール,DBAG-JP040,nomal
キングレムリン,DBAG-JP041,nomal
スネーク・レイン,DBAG-JP042,nomal
エアーズロック・サンライズ,DBAG-JP043,nomal
揺れる眼差し,DBAG-JP044,nomal
毒蛇の供物,DBAG-JP045,nomal
