name,card_id,rare
魔救の追求者,DBSS-JP001,nomal
魔救の探索者,DBSS-JP002,Super
魔救の分析者,DBSS-JP003,nomal
魔救の奇石－レオナイト,DBSS-JP004,nomal
魔救の奇石－ラプタイト,DBSS-JP005,nomal
魔救の奇石－ドラガイト,DBSS-JP006,nomal
魔救の奇跡－レオナイト,DBSS-JP007,Super
魔救の奇跡－ラプタイト,DBSS-JP008,Super
魔救の奇跡－ドラガイト,DBSS-JP009,Ultra
魔救の奇跡－ドラガイト,DBSS-JP009,Secret
アダマシア・ラピュタイト,DBSS-JP010,nomal
魔救の息吹,DBSS-JP011,Super
魔救の救砕,DBSS-JP012,nomal
魔救共振撃,DBSS-JP013,nomal
六花のひとひら,DBSS-JP014,nomal
六花精プリム,DBSS-JP015,nomal
六花精シクラン,DBSS-JP016,nomal
六花精ボタン,DBSS-JP017,Super
六花精エリカ,DBSS-JP018,nomal
六花精スノードロップ,DBSS-JP019,Super
六花精ヘレボラス,DBSS-JP020,nomal
六花聖カンザシ,DBSS-JP021,Super
六花聖ティアドロップ,DBSS-JP022,Ultra
六花聖ティアドロップ,DBSS-JP022,Secret
六花絢爛,DBSS-JP023,Super
六花の風花,DBSS-JP024,nomal
六花深々,DBSS-JP025,nomal
六花の薄氷,DBSS-JP026,nomal
黄金卿エルドリッチ,DBSS-JP027,Ultra
黄金卿エルドリッチ,DBSS-JP027,Secret
呪われしエルドランド,DBSS-JP028,Super
黒き覚醒のエルドリクシル,DBSS-JP029,nomal
白き宿命のエルドリクシル,DBSS-JP030,nomal
紅き血染めのエルドリクシル,DBSS-JP031,Super
黄金郷のガーディアン,DBSS-JP032,nomal
黄金郷のワッケーロ,DBSS-JP033,nomal
黄金郷のコンキスタドール,DBSS-JP034,Super
永久に輝けし黄金郷,DBSS-JP035,Super
黄金の征服王,DBSS-JP036,nomal
怒気土器,DBSS-JP037,nomal
ブロックドラゴン,DBSS-JP038,nomal
薔薇恋人,DBSS-JP039,nomal
ローンファイア・ブロッサム,DBSS-JP040,nomal
椿姫ティタニアル,DBSS-JP041,nomal
ユニゾンビ,DBSS-JP042,nomal
成金ゴブリン,DBSS-JP043,nomal
ギャラクシー・サイクロン,DBSS-JP044,nomal
神の宣告,DBSS-JP045,nomal
