name,card_id,rare
ゼノ・メテオロス,DBWS-JP001,Super
超越竜メテオロス,DBWS-JP002,Ultra
超越竜メテオロス,DBWS-JP002,Secret
超越竜ギガントザウラー,DBWS-JP003,Super
超越竜グレイスザウルス,DBWS-JP004,nomal
超越竜ドリルグナトゥス,DBWS-JP005,nomal
グラウンド・ゼノ,DBWS-JP006,Super
超越天翔,DBWS-JP007,nomal
フロストザウルス,DBWS-JP008,nomal
究極伝導恐獣,DBWS-JP009,nomal
ジャイアント・レックス,DBWS-JP010,nomal
幻創のミセラサウルス,DBWS-JP011,nomal
魂喰いオヴィラプター,DBWS-JP012,nomal
ベビケラサウルス,DBWS-JP013,nomal
プチラノドン,DBWS-JP014,nomal
エヴォルカイザー・ソルデ,DBWS-JP015,nomal
ＶＳ ラゼン,DBWS-JP016,Super
ＶＳ パンテラ,DBWS-JP017,nomal
ＶＳ ヘヴィ・ボーガー,DBWS-JP018,Super
ＶＳ Ｄｒ.マッドラヴ,DBWS-JP019,Super
ＶＳ プルトンＨＧ,DBWS-JP020,nomal
ＶＳ 龍帝ヴァリウス,DBWS-JP021,Ultra
ＶＳ 龍帝ヴァリウス,DBWS-JP021,Secret
闘神の虚像,DBWS-JP022,nomal
Ｓｔａｋｅ Ｙｏｕｒ Ｓｏｕｌ！,DBWS-JP023,Super
ＶＳ 螺旋流辻風,DBWS-JP024,nomal
ＶＳ コンティニュー,DBWS-JP025,nomal
ＶＳ トリニティ・バースト,DBWS-JP026,Super
ＶＳ 龍帝ノ槍,DBWS-JP027,nomal
炎舞－「天キ」,DBWS-JP028,nomal
ブエリヤベース・ド・ヌーベルズ,DBWS-JP029,nomal
コンフィラス・ド・ヌーベルズ,DBWS-JP030,nomal
ポワレティス・ド・ヌーベルズ,DBWS-JP031,Super
フォアグラシャ・ド・ヌーベルズ,DBWS-JP032,nomal
バラムニエル・ド・ヌーベルズ,DBWS-JP033,Super
バグリエル・ド・ヌーベルズ,DBWS-JP034,Ultra
バグリエル・ド・ヌーベルズ,DBWS-JP034,Secret
Ｎｏｕｖｅｌｌｅｚ Ａｕｂｅｒｇｅ 『Ａ Ｔａｂｌｅ』,DBWS-JP035,Super
Ｖｏｉｃｉ ｌａ Ｃａｒｔｅ～メニューはこちら～,DBWS-JP036,Super
Ｒｅｃｅｔｔｅ ｄｅ Ｐｏｉｓｓｏｎ～魚料理のレシピ～,DBWS-JP037,nomal
Ｒｅｃｅｔｔｅ ｄｅ Ｖｉａｎｄｅ～肉料理のレシピ～,DBWS-JP038,nomal
Ｒｅｃｅｔｔｅ ｄｅ Ｐｅｒｓｏｎｎｅｌ～賄いのレシピ～,DBWS-JP039,nomal
Ｒｅｃｅｔｔｅ ｄｅ Ｓｐｅｃｉａｌｉｔｅ～料理長自慢のレシピ～,DBWS-JP040,nomal
ハングリーバーガー,DBWS-JP041,nomal
ハンバーガーのレシピ,DBWS-JP042,nomal
魔神儀－キャンドール,DBWS-JP043,nomal
魔神儀－タリスマンドラ,DBWS-JP044,nomal
儀式の準備,DBWS-JP045,nomal
