name,card_id,rare
冥骸合竜－メメントラル・テクトリカ,DBVS-JP001,Ultra
冥骸合竜－メメントラル・テクトリカ,DBVS-JP001,Secret
メメント・ホーン・ドラゴン,DBVS-JP002,nomal
メメント・シーホース,DBVS-JP003,Super
メメント・ダークソード,DBVS-JP004,Super
メメント・エンウィッチ,DBVS-JP005,Super
メメント・エンウィッチ,DBVS-JP005,Quarter Century Secret
メメント・メイス,DBVS-JP006,Normal
メメント・メイス,DBVS-JP006,N-Parallel
メメント・メイス,DBVS-JP006,Secret
メメント・ゴブリン,DBVS-JP007,nomal
冥骸府－メメントラン,DBVS-JP008,nomal
メメント・ボーン・パーティー,DBVS-JP009,Super
メメント・ボーン・バック,DBVS-JP010,nomal
メメント・フラクチャー・ダンス,DBVS-JP011,nomal
メメント・クレニアム・バースト,DBVS-JP012,nomal
テラ・フォーミング,DBVS-JP013,nomal
補給部隊,DBVS-JP014,nomal
センサー万別,DBVS-JP015,nomal
重騎士プリメラ,DBVS-JP016,Super
重騎士プリメラ,DBVS-JP016,Quarter Century Secret
従騎士トゥルーデア,DBVS-JP017,Super
重騎兵エメトＶＩ,DBVS-JP018,Normal
重騎兵エメトＶＩ,DBVS-JP018,N-Parallel
重騎兵エメトＶＩ,DBVS-JP018,Secret
騎士皇レガーティア,DBVS-JP019,Super
スタンドアップ・センチュリオン！,DBVS-JP020,Super
誓いのエンブレーマ,DBVS-JP021,Ultra
誓いのエンブレーマ,DBVS-JP021,Secret
騎士の絆,DBVS-JP022,nomal
騎士魔防陣,DBVS-JP023,nomal
騎士皇爆誕,DBVS-JP024,nomal
召喚僧サモンプリースト,DBVS-JP025,nomal
天威の龍鬼神,DBVS-JP026,nomal
ハーピィ・レディ・ＳＣ,DBVS-JP027,nomal
マジック・プランター,DBVS-JP028,nomal
シンクロ・トランスミッション,DBVS-JP029,nomal
重力崩壊,DBVS-JP030,nomal
天使の聲,DBVS-JP031,Normal
天使の聲,DBVS-JP031,N-Parallel
天使の聲,DBVS-JP031,Secret
悪魔の聲,DBVS-JP032,Normal
悪魔の聲,DBVS-JP032,N-Parallel
悪魔の聲,DBVS-JP032,Secret
ヴァルモニカの異神－ジュラルメ,DBVS-JP033,Super
ヴァルモニカの神異－ゼブフェーラ,DBVS-JP034,Super
天魔の聲選器－『ヴァルモニカ』,DBVS-JP035,nomal
ヴァルモニカ・シェルタ,DBVS-JP036,Ultra
ヴァルモニカ・シェルタ,DBVS-JP036,Quarter Century Secret
ヴァルモニカ・ヴェルサーレ,DBVS-JP037,Super
ヴァルモニカ・イントナーレ,DBVS-JP038,Super
律導のヴァルモニカ,DBVS-JP039,nomal
選律のヴァルモニカ,DBVS-JP040,nomal
守護天霊ロガエス,DBVS-JP041,nomal
Ｅｍトリック・クラウン,DBVS-JP042,nomal
儚無みずき,DBVS-JP043,nomal
Ｎｏ.４１ 泥睡魔獣バグースカ,DBVS-JP044,nomal
聖邪のステンドグラス,DBVS-JP045,nomal
