name,card_id,rare
ヴェルズ・ケルキオン,DS13-JPD01,Super
ヴェルズ・ヘリオロープ,DS13-JPD02,Normal
ヴェルズ・ザッハーク,DS13-JPD03,Normal
ヴェルズ・カイトス,DS13-JPD04,Normal
ヴェルズ・オランタ,DS13-JPD05,Normal
ヴェルズ・マンドラゴ,DS13-JPD06,Normal
ヴェルズ・フレイス,DS13-JPD07,Normal
ヴェルズ・カストル,DS13-JPD08,Normal
ヴェルズ・オ・ウィスプ,DS13-JPD09,Normal
ヴェルズ・アザトホース,DS13-JPD10,Normal
ヴェルズ・サンダーバード,DS13-JPD11,Normal
ヴェルズ・サラマンドラ,DS13-JPD12,Normal
ヴェルズ・ゴーレム,DS13-JPD13,Normal
ヴェルズ・コッペリアル,DS13-JPD14,Normal
インヴェルズの魔細胞,DS13-JPD15,Normal
インヴェルズの斥候,DS13-JPD16,Normal
インヴェルズ・モース,DS13-JPD17,Normal
インヴェルズ・ギラファ,DS13-JPD18,Normal
インヴェルズの先鋭,DS13-JPD19,Normal
ダーク・アームド・ドラゴン,DS13-JPD20,Normal
召喚僧サモンプリースト,DS13-JPD21,Normal
クリッター,DS13-JPD22,Normal
侵略の汎発感染,DS13-JPD23,Normal
忍び寄る闇,DS13-JPD24,Normal
闇の誘惑,DS13-JPD25,Normal
悪夢再び,DS13-JPD26,Normal
浅すぎた墓穴,DS13-JPD27,Normal
サモンチェーン,DS13-JPD28,Normal
月の書,DS13-JPD29,Normal
ブラック・ホール,DS13-JPD30,Normal
侵略の侵喰感染,DS13-JPD31,Normal
侵略の侵喰崩壊,DS13-JPD32,Normal
デモンズ・チェーン,DS13-JPD33,Normal
闇の幻影,DS13-JPD34,Normal
闇の閃光,DS13-JPD35,Normal
闇次元の解放,DS13-JPD36,Normal
異次元からの帰還,DS13-JPD37,Normal
サモンリミッター,DS13-JPD38,Normal
閃光を吸い込むマジック・ミラー,DS13-JPD39,Normal
リビングデッドの呼び声,DS13-JPD40,Normal
ヴェルズ・オピオン,DS13-JPD41,Ultra
ヴェルズ・ウロボロス,DS13-JPD42,Ultra
ヴェルズ・ケルキオン,DS13-JPD01,Super
ヴェルズ・ヘリオロープ,DS13-JPD02,Normal
ヴェルズ・ザッハーク,DS13-JPD03,Normal
ヴェルズ・カイトス,DS13-JPD04,Normal
ヴェルズ・オランタ,DS13-JPD05,Normal
ヴェルズ・マンドラゴ,DS13-JPD06,Normal
ヴェルズ・フレイス,DS13-JPD07,Normal
ヴェルズ・カストル,DS13-JPD08,Normal
ヴェルズ・オ・ウィスプ,DS13-JPD09,Normal
ヴェルズ・アザトホース,DS13-JPD10,Normal
ヴェルズ・サンダーバード,DS13-JPD11,Normal
ヴェルズ・サラマンドラ,DS13-JPD12,Normal
ヴェルズ・ゴーレム,DS13-JPD13,Normal
ヴェルズ・コッペリアル,DS13-JPD14,Normal
インヴェルズの魔細胞,DS13-JPD15,Normal
インヴェルズの斥候,DS13-JPD16,Normal
インヴェルズ・モース,DS13-JPD17,Normal
インヴェルズ・ギラファ,DS13-JPD18,Normal
インヴェルズの先鋭,DS13-JPD19,Normal
ダーク・アームド・ドラゴン,DS13-JPD20,Normal
召喚僧サモンプリースト,DS13-JPD21,Normal
クリッター,DS13-JPD22,Normal
侵略の汎発感染,DS13-JPD23,Normal
忍び寄る闇,DS13-JPD24,Normal
闇の誘惑,DS13-JPD25,Normal
悪夢再び,DS13-JPD26,Normal
浅すぎた墓穴,DS13-JPD27,Normal
サモンチェーン,DS13-JPD28,Normal
月の書,DS13-JPD29,Normal
ブラック・ホール,DS13-JPD30,Normal
侵略の侵喰感染,DS13-JPD31,Normal
侵略の侵喰崩壊,DS13-JPD32,Normal
デモンズ・チェーン,DS13-JPD33,Normal
闇の幻影,DS13-JPD34,Normal
闇の閃光,DS13-JPD35,Normal
闇次元の解放,DS13-JPD36,Normal
異次元からの帰還,DS13-JPD37,Normal
サモンリミッター,DS13-JPD38,Normal
閃光を吸い込むマジック・ミラー,DS13-JPD39,Normal
リビングデッドの呼び声,DS13-JPD40,Normal
ヴェルズ・オピオン,DS13-JPD41,Ultra
ヴェルズ・ウロボロス,DS13-JPD42,Ultra
