name,card_id,rare
セイクリッド・ソンブレス,DS13-JPL01,Super
セイクリッド・シェラタン,DS13-JPL02,Normal
セイクリッド・ダバラン,DS13-JPL03,Normal
セイクリッド・グレディ,DS13-JPL04,Normal
セイクリッド・ポルクス,DS13-JPL05,Normal
セイクリッド・エスカ,DS13-JPL06,Normal
セイクリッド・スピカ,DS13-JPL07,Normal
セイクリッド・シェアト,DS13-JPL08,Normal
セイクリッド・ハワー,DS13-JPL09,Normal
セイクリッド・レオニス,DS13-JPL10,Normal
セイクリッド・アクベス,DS13-JPL11,Normal
セイクリッド・カウスト,DS13-JPL12,Normal
セイクリッド・レスカ,DS13-JPL13,Normal
セイクリッド・アンタレス,DS13-JPL14,Normal
ガーディアン・オブ・オーダー,DS13-JPL15,Normal
サイバー・ドラゴン,DS13-JPL16,Normal
太陽の神官,DS13-JPL17,Normal
霊魂の護送船,DS13-JPL18,Normal
シャインエンジェル,DS13-JPL19,Normal
放浪の勇者 フリード,DS13-JPL20,Normal
次元合成師,DS13-JPL21,Normal
オネスト,DS13-JPL22,Normal
セイクリッドの星痕,DS13-JPL23,Normal
セイクリッドの超新生,DS13-JPL24,Normal
神星なる領域,DS13-JPL25,Normal
スター・ブラスト,DS13-JPL26,Normal
光の護封剣,DS13-JPL27,Normal
サイクロン,DS13-JPL28,Normal
クロス・ソウル,DS13-JPL29,Normal
ライトニング・ボルテックス,DS13-JPL30,Normal
救援光,DS13-JPL31,Normal
死者転生,DS13-JPL32,Normal
二重召喚,DS13-JPL33,Normal
セイクリッドの流星,DS13-JPL34,Normal
煉獄の落とし穴,DS13-JPL35,Normal
聖なるバリア −ミラーフォース−,DS13-JPL36,Normal
光の召集,DS13-JPL37,Normal
転生の予言,DS13-JPL38,Normal
暗闇を吸い込むマジック・ミラー,DS13-JPL39,Normal
エクシーズ・リボーン,DS13-JPL40,Normal
セイクリッド・プレアデス,DS13-JPL41,Ultra
セイクリッド・トレミスＭ７,DS13-JPL42,Ultra
セイクリッド・ソンブレス,DS13-JPL01,Super
セイクリッド・シェラタン,DS13-JPL02,Normal
セイクリッド・ダバラン,DS13-JPL03,Normal
セイクリッド・グレディ,DS13-JPL04,Normal
セイクリッド・ポルクス,DS13-JPL05,Normal
セイクリッド・エスカ,DS13-JPL06,Normal
セイクリッド・スピカ,DS13-JPL07,Normal
セイクリッド・シェアト,DS13-JPL08,Normal
セイクリッド・ハワー,DS13-JPL09,Normal
セイクリッド・レオニス,DS13-JPL10,Normal
セイクリッド・アクベス,DS13-JPL11,Normal
セイクリッド・カウスト,DS13-JPL12,Normal
セイクリッド・レスカ,DS13-JPL13,Normal
セイクリッド・アンタレス,DS13-JPL14,Normal
ガーディアン・オブ・オーダー,DS13-JPL15,Normal
サイバー・ドラゴン,DS13-JPL16,Normal
太陽の神官,DS13-JPL17,Normal
霊魂の護送船,DS13-JPL18,Normal
シャインエンジェル,DS13-JPL19,Normal
放浪の勇者 フリード,DS13-JPL20,Normal
次元合成師,DS13-JPL21,Normal
オネスト,DS13-JPL22,Normal
セイクリッドの星痕,DS13-JPL23,Normal
セイクリッドの超新生,DS13-JPL24,Normal
神星なる領域,DS13-JPL25,Normal
スター・ブラスト,DS13-JPL26,Normal
光の護封剣,DS13-JPL27,Normal
サイクロン,DS13-JPL28,Normal
クロス・ソウル,DS13-JPL29,Normal
ライトニング・ボルテックス,DS13-JPL30,Normal
救援光,DS13-JPL31,Normal
死者転生,DS13-JPL32,Normal
二重召喚,DS13-JPL33,Normal
セイクリッドの流星,DS13-JPL34,Normal
煉獄の落とし穴,DS13-JPL35,Normal
聖なるバリア −ミラーフォース−,DS13-JPL36,Normal
光の召集,DS13-JPL37,Normal
転生の予言,DS13-JPL38,Normal
暗闇を吸い込むマジック・ミラー,DS13-JPL39,Normal
エクシーズ・リボーン,DS13-JPL40,Normal
セイクリッド・プレアデス,DS13-JPL41,Ultra
セイクリッド・トレミスＭ７,DS13-JPL42,Ultra
