name,card_id,rare
裁きの龍,DS14-JPL01,Normal
ライトロード・ドラゴン グラゴニス,DS14-JPL02,Normal
ライトロード・エンジェル ケルビム,DS14-JPL03,Normal
ライトロード・パラディン ジェイン,DS14-JPL04,Normal
ライトロード・マジシャン ライラ,DS14-JPL05,Normal
ライトロード・ウォリアー ガロス,DS14-JPL06,Normal
ライトロード・ビースト ウォルフ,DS14-JPL07,Normal
ライトロード・モンク エイリン,DS14-JPL08,Normal
ライトロード・サモナー ルミナス,DS14-JPL09,Normal
ライトロード・ハンター ライコウ,DS14-JPL10,Normal
オネスト,DS14-JPL11,Normal
ライトレイ ディアボロス,DS14-JPL12,Normal
ライトレイ ダイダロス,DS14-JPL13,Normal
ライトレイ グレファー,DS14-JPL14,Normal
ＲＡＩ−ＪＩＮ,DS14-JPL15,Normal
ＲＡＩ−ＭＥＩ,DS14-JPL16,Normal
タスケナイト,DS14-JPL17,Normal
魔導雑貨商人,DS14-JPL18,Normal
ヴァイロン・プリズム,DS14-JPL19,Normal
エフェクト・ヴェーラー,DS14-JPL20,Normal
ジャスティス・ワールド,DS14-JPL21,Normal
ソーラー・エクスチェンジ,DS14-JPL22,Normal
光の援軍,DS14-JPL23,Normal
神星なる領域,DS14-JPL24,Normal
Ｚ−ＯＮＥ,DS14-JPL25,Normal
テラ・フォーミング,DS14-JPL26,Normal
閃光のイリュージョン,DS14-JPL27,Normal
ライトロード・バリア,DS14-JPL28,Normal
ライト・バニッシュ,DS14-JPL29,Normal
光の召集,DS14-JPL30,Normal
針虫の巣窟,DS14-JPL31,Normal
ライトエンド・ドラゴン,DS14-JPL32,Normal
ライトロード・アーク ミカエル,DS14-JPLS1,Secret
ライトロード・メイデン ミネルバ,DS14-JPLS2,Ultra
ライトロード・アサシン ライデン,DS14-JPLS3,Ultra
裁きの龍,DS14-JPL01,Normal
ライトロード・ドラゴン グラゴニス,DS14-JPL02,Normal
ライトロード・エンジェル ケルビム,DS14-JPL03,Normal
ライトロード・パラディン ジェイン,DS14-JPL04,Normal
ライトロード・マジシャン ライラ,DS14-JPL05,Normal
ライトロード・ウォリアー ガロス,DS14-JPL06,Normal
ライトロード・ビースト ウォルフ,DS14-JPL07,Normal
ライトロード・モンク エイリン,DS14-JPL08,Normal
ライトロード・サモナー ルミナス,DS14-JPL09,Normal
ライトロード・ハンター ライコウ,DS14-JPL10,Normal
オネスト,DS14-JPL11,Normal
ライトレイ ディアボロス,DS14-JPL12,Normal
ライトレイ ダイダロス,DS14-JPL13,Normal
ライトレイ グレファー,DS14-JPL14,Normal
ＲＡＩ−ＪＩＮ,DS14-JPL15,Normal
ＲＡＩ−ＭＥＩ,DS14-JPL16,Normal
タスケナイト,DS14-JPL17,Normal
魔導雑貨商人,DS14-JPL18,Normal
ヴァイロン・プリズム,DS14-JPL19,Normal
エフェクト・ヴェーラー,DS14-JPL20,Normal
ジャスティス・ワールド,DS14-JPL21,Normal
ソーラー・エクスチェンジ,DS14-JPL22,Normal
光の援軍,DS14-JPL23,Normal
神星なる領域,DS14-JPL24,Normal
Ｚ−ＯＮＥ,DS14-JPL25,Normal
テラ・フォーミング,DS14-JPL26,Normal
閃光のイリュージョン,DS14-JPL27,Normal
ライトロード・バリア,DS14-JPL28,Normal
ライト・バニッシュ,DS14-JPL29,Normal
光の召集,DS14-JPL30,Normal
針虫の巣窟,DS14-JPL31,Normal
ライトエンド・ドラゴン,DS14-JPL32,Normal
ライトロード・アーク ミカエル,DS14-JPLS1,Secret
ライトロード・メイデン ミネルバ,DS14-JPLS2,Ultra
ライトロード・アサシン ライデン,DS14-JPLS3,Ultra
