name,card_id,rare
サイバー・ドラゴン,DP04-JP001,Rare
サイバー・バリア・ドラゴン,DP04-JP002,Rare
サイバー・レーザー・ドラゴン,DP04-JP003,Rare
プロト・サイバー・ドラゴン,DP04-JP004,nomal
サイバー・ジラフ,DP04-JP005,nomal
サイバー・フェニックス,DP04-JP006,nomal
サイバー・ダーク・ホーン,DP04-JP007,nomal
サイバー・ダーク・エッジ,DP04-JP008,nomal
サイバー・ダーク・キール,DP04-JP009,nomal
ヘル・ドラゴン,DP04-JP010,Ultra
サイバー・ツイン・ドラゴン,DP04-JP011,Rare
サイバー・エンド・ドラゴン,DP04-JP012,Rare
キメラテック・オーバー・ドラゴン,DP04-JP013,Rare
鎧黒竜－サイバー・ダーク・ドラゴン,DP04-JP014,Super
サイクロン,DP04-JP015,nomal
リミッター解除,DP04-JP016,nomal
融合解除,DP04-JP017,nomal
強制転移,DP04-JP018,nomal
タイムカプセル,DP04-JP019,nomal
パワー・ボンド,DP04-JP020,Rare
フォトン・ジェネレーター・ユニット,DP04-JP021,nomal
オーバーロード・フュージョン,DP04-JP022,nomal
未来融合－フューチャー・フュージョン,DP04-JP023,nomal
無情の抹殺,DP04-JP024,Super
リビングデッドの呼び声,DP04-JP025,nomal
トラップ・ジャマー,DP04-JP026,nomal
アタック・リフレクター・ユニット,DP04-JP027,nomal
リターンソウル,DP04-JP028,Super
ダメージ・ポラリライザー,DP04-JP029,Ultra
フュージョン・ガード,DP04-JP030,Super
