name,card_id,rare
ブラック・マジシャン・ガール,DP23-JP000,Holographic
超魔導師－ブラック・マジシャンズ,DP23-JP001,Ultra
マジシャンズ・ソウルズ,DP23-JP002,Super
魂のしもべ,DP23-JP003,Super
黒魔術の秘儀,DP23-JP004,Rare
マジシャンズ・コンビネーション,DP23-JP005,Rare
マジシャン・オブ・ブラック・イリュージョン,DP23-JP006,nomal
幻想の見習い魔導師,DP23-JP007,nomal
マジシャンズ・ロッド,DP23-JP008,nomal
黒の魔導陣,DP23-JP009,nomal
イリュージョン・マジック,DP23-JP010,nomal
マジシャンズ・ナビゲート,DP23-JP011,nomal
Ｅ・ＨＥＲＯ サンライザー,DP23-JP012,Ultra
Ｅ・ＨＥＲＯ リキッドマン,DP23-JP013,Super
ジェネレーション・ネクスト,DP23-JP014,Super
フェイバリット・ヒーロー,DP23-JP015,Rare
マジスタリー・アルケミスト,DP23-JP016,Rare
ハネクリボー,DP23-JP017,nomal
Ｎ・アクア・ドルフィン,DP23-JP018,nomal
Ｅ・ＨＥＲＯ オネスティ・ネオス,DP23-JP019,nomal
ミラクル・フュージョン,DP23-JP020,nomal
摩天楼 －スカイスクレイパー－,DP23-JP021,nomal
ヒーローアライブ,DP23-JP022,nomal
サテライト・ウォリアー,DP23-JP023,Ultra
ジャンク・コンバーター,DP23-JP024,Super
サテライト・シンクロン,DP23-JP025,Rare
シンクロ・チェイス,DP23-JP026,Rare
くず鉄のシグナル,DP23-JP027,Rare
アクセル・シンクロン,DP23-JP028,nomal
コズミック・ブレイザー・ドラゴン,DP23-JP029,nomal
ジェット・シンクロン,DP23-JP030,nomal
ドッペル・ウォリアー,DP23-JP031,nomal
クイック・シンクロン,DP23-JP032,nomal
調律,DP23-JP033,nomal
ガガガガマジシャン,DP23-JP034,Ultra
ズバババンチョー－ＧＣ,DP23-JP035,Rare
ドドドドワーフ－ＧＧ,DP23-JP036,Rare
オノマト選択,DP23-JP037,Super
フューチャー・ドライブ,DP23-JP038,Rare
ＦＮｏ.０ 未来皇ホープ,DP23-JP039,nomal
ガガガザムライ,DP23-JP040,nomal
ゴゴゴジャイアント,DP23-JP041,nomal
ドドドバスター,DP23-JP042,nomal
オノマト連携,DP23-JP043,nomal
マスター・ピース,DP23-JP044,nomal
ＥＭ天空の魔術師,DP23-JP045,Ultra
オッドアイズ・ウィザード・ドラゴン,DP23-JP046,Super
ＥＭポップアップ,DP23-JP047,Rare
スマイル・アクション,DP23-JP048,Rare
ペンデュラム・ディメンション,DP23-JP049,Rare
ＥＭドクロバット・ジョーカー,DP23-JP050,nomal
ＥＭペンデュラム・マジシャン,DP23-JP051,nomal
アストログラフ・マジシャン,DP23-JP052,nomal
調弦の魔術師,DP23-JP053,nomal
覇王眷竜スターヴ・ヴェノム,DP23-JP054,nomal
螺旋のストライクバースト,DP23-JP055,nomal
