name,card_id,rare
Ｖ－タイガー・ジェット,DP2-JP001,nomal
おジャマ・グリーン,DP2-JP002,nomal
おジャマ・イエロー,DP2-JP003,nomal
おジャマ・ブラック,DP2-JP004,nomal
Ｘ－ヘッド・キャノン,DP2-JP005,nomal
Ｙ－ドラゴン・ヘッド,DP2-JP006,nomal
Ｚ－メタル・キャタピラー,DP2-JP007,nomal
Ｗ－ウィング・カタパルト,DP2-JP008,nomal
炎獄魔人ヘル・バーナー,DP2-JP009,Rare
アームド・ドラゴン ＬＶ３,DP2-JP010,nomal
アームド・ドラゴン ＬＶ５,DP2-JP011,nomal
アームド・ドラゴン ＬＶ７,DP2-JP012,Super
アームド・ドラゴン ＬＶ１０,DP2-JP013,Ultra
ＸＹＺ－ドラゴン・キャノン,DP2-JP014,Rare
おジャマ・キング,DP2-JP015,nomal
ＶＷ－タイガー・カタパルト,DP2-JP016,Rare
ＶＷＸＹＺ－ドラゴン・カタパルトキャノン,DP2-JP017,Rare
おジャマ・デルタハリケーン！！,DP2-JP018,nomal
レベル調整,DP2-JP019,Rare
おジャマジック,DP2-JP020,Rare
おジャマッスル,DP2-JP021,Rare
ヘル・アライアンス,DP2-JP022,nomal
アームド・チェンジャー,DP2-JP023,nomal
打ち出の小槌,DP2-JP024,Super
地獄の暴走召喚,DP2-JP025,Super
防御輪,DP2-JP026,Ultra
おジャマトリオ,DP2-JP027,nomal
ヘル・ブラスト,DP2-JP028,nomal
ヘル・ポリマー,DP2-JP029,nomal
復活の墓穴,DP2-JP030,Super
