name,card_id,rare
Ｅ・ＨＥＲＯ ネオス,DP03-JP001,nomal
Ｅ・ＨＥＲＯ エッジマン,DP03-JP002,Rare
Ｅ・ＨＥＲＯ ワイルドマン,DP03-JP003,nomal
ヒーロー・キッズ,DP03-JP004,nomal
Ｎ・アクア・ドルフィン,DP03-JP005,Rare
Ｎ・フレア・スカラベ,DP03-JP006,Rare
Ｎ・ブラック・パンサー,DP03-JP007,Rare
Ｃ・ドルフィーナ,DP03-JP008,nomal
カードガンナー,DP03-JP009,Ultra
Ｅ・ＨＥＲＯ ワイルドジャギーマン,DP03-JP010,Rare
Ｅ・ＨＥＲＯ ワイルド・ウィングマン,DP03-JP011,nomal
Ｅ・ＨＥＲＯ アクア・ネオス,DP03-JP012,Rare
Ｅ・ＨＥＲＯ フレア・ネオス,DP03-JP013,Rare
Ｅ・ＨＥＲＯ ブラック・ネオス,DP03-JP014,Super
サイクロン・ブーメラン,DP03-JP015,nomal
Ｈ－ヒートハート,DP03-JP016,nomal
Ｅ－エマージェンシーコール,DP03-JP017,nomal
Ｒ－ライトジャスティス,DP03-JP018,nomal
Ｏ－オーバーソウル,DP03-JP019,nomal
ヒーローフラッシュ！！,DP03-JP020,nomal
コンタクト,DP03-JP021,nomal
フェイク・ヒーロー,DP03-JP022,nomal
魂の共有－コモンソウル,DP03-JP023,nomal
ネオスペース,DP03-JP024,nomal
ライトイレイザー,DP03-JP025,Super
異次元からの埋葬,DP03-JP026,Ultra
ヒーローバリア,DP03-JP027,nomal
ミラクル・キッズ,DP03-JP028,nomal
エッジ・ハンマー,DP03-JP029,Super
キッズ・ガード,DP03-JP030,Super
