name,card_id,rare
ラーの翼神竜－球体形,DP16-JP001,Ultra
ジュラゲド,DP16-JP002,Rare
魔道化リジョン,DP16-JP003,Rare
封魔の矢,DP16-JP004,Ultra
死なばもろとも,DP16-JP005,Ultra
カオス・ソルジャー,DP16-JP006,Super
カオスの儀式,DP16-JP007,nomal
ブラック・マジシャン,DP16-JP008,Super
ブラック・マジシャン・ガール,DP16-JP009,Super
バスター・ブレイダー,DP16-JP010,Rare
暗黒魔族ギルファー・デーモン,DP16-JP011,nomal
ジャックス・ナイト,DP16-JP012,nomal
クィーンズ・ナイト,DP16-JP013,nomal
キングス・ナイト,DP16-JP014,nomal
青眼の白龍,DP16-JP015,Ultra
ロード・オブ・ドラゴン－ドラゴンの支配者－,DP16-JP016,nomal
ドラゴンを呼ぶ笛,DP16-JP017,nomal
エネミーコントローラー,DP16-JP018,nomal
死のデッキ破壊ウイルス,DP16-JP019,Rare
真紅眼の黒竜,DP16-JP020,Super
鉄の騎士 ギア・フリード,DP16-JP021,nomal
ロケット戦士,DP16-JP022,nomal
時の魔術師,DP16-JP023,nomal
おろかな埋葬,DP16-JP024,nomal
インセクト女王,DP16-JP025,nomal
人造人間－サイコ・ショッカー,DP16-JP026,Super
伝説のフィッシャーマン,DP16-JP027,nomal
墓穴の道連れ,DP16-JP028,nomal
アポピスの化神,DP16-JP029,Rare
仮面魔獣マスクド・ヘルレイザー,DP16-JP030,Rare
仮面魔獣の儀式,DP16-JP031,nomal
ダーク・ネクロフィア,DP16-JP032,Rare
溶岩魔神ラヴァ・ゴーレム,DP16-JP033,Super
魔法石の採掘,DP16-JP034,nomal
邪神の大災害,DP16-JP035,nomal
ハーピィ・レディ三姉妹,DP16-JP036,nomal
万華鏡－華麗なる分身－,DP16-JP037,nomal
ヒステリック・パーティー,DP16-JP038,nomal
リボルバー・ドラゴン,DP16-JP039,Rare
スフィア・ボム 球体時限爆弾,DP16-JP040,nomal
ブルーアイズ・トゥーン・ドラゴン,DP16-JP041,nomal
トゥーン・ブラック・マジシャン・ガール,DP16-JP042,Rare
トゥーン・ヂェミナイ・エルフ,DP16-JP043,nomal
トゥーン・ワールド,DP16-JP044,nomal
トゥーンのもくじ,DP16-JP045,Rare
