name,card_id,rare
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,DP26-JP000,Holographic
アビス・シャーク,DP26-JP001,Super
アビス・シャーク,DP26-JP001,Secret
クリスタル・シャーク,DP26-JP002,Super
クリスタル・シャーク,DP26-JP002,Secret
Ｎ・Ａｓ・Ｈ Ｋｎｉｇｈｔ,DP26-JP003,Ultra
Ｎ・Ａｓ・Ｈ Ｋｎｉｇｈｔ,DP26-JP003,Secret
ＣＸ－Ｎ・Ａｓ・Ｃｈ Ｋｎｉｇｈｔ,DP26-JP004,Ultra
ＣＸ－Ｎ・Ａｓ・Ｃｈ Ｋｎｉｇｈｔ,DP26-JP004,Secret
バリアンズ・カオス・ドロー,DP26-JP005,Rare
七皇昇格,DP26-JP006,Super
七皇昇格,DP26-JP006,Secret
不朽の七皇,DP26-JP007,Rare
サイレント・アングラー,DP26-JP008,nomal
エクシーズ・リモーラ,DP26-JP009,nomal
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,DP26-JP010,nomal
バハムート・シャーク,DP26-JP011,nomal
ＦＡ－ブラック・レイ・ランサー,DP26-JP012,nomal
Ｎｏ.７１ リバリアン・シャーク,DP26-JP013,nomal
ＲＵＭ－七皇の剣,DP26-JP014,nomal
ＲＵＭ－クイック・カオス,DP26-JP015,nomal
大要塞クジラ,DP26-JP016,Ultra
大要塞クジラ,DP26-JP016,Secret
海竜神－リバイアサン,DP26-JP017,Rare
デス・クラーケン,DP26-JP018,Rare
電気海月－フィサリア－,DP26-JP019,Super
電気海月－フィサリア－,DP26-JP019,Secret
魚群探知機,DP26-JP020,Super
魚群探知機,DP26-JP020,Secret
潜海奇襲ＩＩ,DP26-JP021,Rare
暗岩の海竜神,DP26-JP022,Rare
伝説のフィッシャーマン,DP26-JP023,nomal
伝説のフィッシャーマン二世,DP26-JP024,nomal
伝説のフィッシャーマン三世,DP26-JP025,nomal
城塞クジラ,DP26-JP026,nomal
海竜神の怒り,DP26-JP027,nomal
海竜神の激昂,DP26-JP028,nomal
激流葬,DP26-JP029,nomal
潜海奇襲,DP26-JP030,nomal
海晶乙女スプリンガール,DP26-JP031,Super
海晶乙女スプリンガール,DP26-JP031,Secret
海晶乙女スリーピーメイデン,DP26-JP032,Rare
海晶乙女コーラルトライアングル,DP26-JP033,Ultra
海晶乙女コーラルトライアングル,DP26-JP033,Secret
海晶乙女アクア・アルゴノート,DP26-JP034,Ultra
海晶乙女アクア・アルゴノート,DP26-JP034,Secret
海晶乙女の潜逅,DP26-JP035,Super
海晶乙女の潜逅,DP26-JP035,Secret
海晶乙女環流,DP26-JP036,Rare
海晶乙女渦輪,DP26-JP037,Rare
海晶乙女シーホース,DP26-JP038,nomal
海晶乙女パスカルス,DP26-JP039,nomal
海晶乙女シーエンジェル,DP26-JP040,nomal
海晶乙女コーラルアネモネ,DP26-JP041,nomal
海晶乙女クリスタルハート,DP26-JP042,nomal
海晶乙女ワンダーハート,DP26-JP043,nomal
海晶乙女の闘海,DP26-JP044,nomal
海晶乙女波動,DP26-JP045,nomal
