name,card_id,rare
沈黙の剣士－サイレント・ソードマン,DP17-JP001,Ultra
沈黙の魔術師－サイレント・マジシャン,DP17-JP002,Ultra
沈黙の剣,DP17-JP003,Super
サイレント・バーニング,DP17-JP004,Super
マグネット・リバース,DP17-JP005,Rare
マグネット・フォース,DP17-JP006,Super
アルティメット・バースト,DP17-JP007,Ultra
天声の服従,DP17-JP008,Ultra
埋葬されし生け贄,DP17-JP009,Super
ダーク・サンクチュアリ,DP17-JP010,Rare
究極竜騎士,DP17-JP011,Rare
混沌の黒魔術師,DP17-JP012,Super
光と闇の洗礼,DP17-JP013,nomal
デビルズ・サンクチュアリ,DP17-JP014,Rare
永遠の魂,DP17-JP015,Rare
サイレント・ソードマン ＬＶ３,DP17-JP016,nomal
サイレント・ソードマン ＬＶ５,DP17-JP017,nomal
サイレント・ソードマン ＬＶ７,DP17-JP018,nomal
サイレント・マジシャン ＬＶ４,DP17-JP019,nomal
サイレント・マジシャン ＬＶ８,DP17-JP020,nomal
グリーン・ガジェット,DP17-JP021,nomal
レッド・ガジェット,DP17-JP022,nomal
イエロー・ガジェット,DP17-JP023,nomal
機動砦 ストロング・ホールド,DP17-JP024,nomal
黒・魔・導・爆・裂・破,DP17-JP025,nomal
黒・爆・裂・破・魔・導,DP17-JP026,nomal
青眼の究極竜,DP17-JP027,Rare
青眼の光龍,DP17-JP028,nomal
ＹＺ－キャタピラー・ドラゴン,DP17-JP029,Rare
龍の鏡,DP17-JP030,Rare
竜の霊廟,DP17-JP031,Rare
銀龍の轟咆,DP17-JP032,nomal
竜魂の城,DP17-JP033,nomal
地獄詩人ヘルポエマー,DP17-JP034,nomal
メタル・リフレクト・スライム,DP17-JP035,Rare
生贄の抱く爆弾,DP17-JP036,nomal
現世と冥界の逆転,DP17-JP037,nomal
聖獣セルケト,DP17-JP038,nomal
王家の神殿,DP17-JP039,nomal
ウィジャ盤,DP17-JP040,nomal
死のメッセージ「Ｅ」,DP17-JP041,nomal
死のメッセージ「Ａ」,DP17-JP042,nomal
死のメッセージ「Ｔ」,DP17-JP043,nomal
死のメッセージ「Ｈ」,DP17-JP044,nomal
サウザンド・アイズ・サクリファイス,DP17-JP045,Super
