name,card_id,rare
クリアウィング・シンクロ・ドラゴン,DP25-JP000,Holographic
ＳＲ吹持童子,DP25-JP001,Rare
ＳＲマジックハウンド,DP25-JP002,Rare
ＨＳＲコルク－１０,DP25-JP003,Super
ＨＳＲコルク－１０,DP25-JP003,Secret
クリスタルクリアウィング・シンクロ・ドラゴン,DP25-JP004,Ultra
クリスタルクリアウィング・シンクロ・ドラゴン,DP25-JP004,Secret
ＨＳＲ／ＣＷライダー,DP25-JP005,Ultra
ＨＳＲ／ＣＷライダー,DP25-JP005,Secret
ＳＲルーレット,DP25-JP006,Super
ＳＲルーレット,DP25-JP006,Secret
ＳＲデュプリゲート,DP25-JP007,Rare
ＳＲベイゴマックス,DP25-JP008,nomal
ＳＲダブルヨーヨー,DP25-JP009,nomal
ＳＲタケトンボーグ,DP25-JP010,nomal
ＳＲ赤目のダイス,DP25-JP011,nomal
ＳＲ電々大公,DP25-JP012,nomal
ＳＲバンブー・ホース,DP25-JP013,nomal
ＳＲビーダマシーン,DP25-JP014,nomal
ＳＲカールターボ,DP25-JP015,nomal
ＨＳＲチャンバライダー,DP25-JP016,nomal
ＨＳＲカイドレイク,DP25-JP017,nomal
スピードリバース,DP25-JP018,nomal
スピードリフト,DP25-JP019,nomal
時花の賢者－フルール・ド・サージュ,DP25-JP020,Ultra
時花の賢者－フルール・ド・サージュ,DP25-JP020,Secret
花騎士団の白馬,DP25-JP021,Rare
ネクロ・シンクロン,DP25-JP022,Super
ネクロ・シンクロン,DP25-JP022,Secret
フルール・ド・バロネス,DP25-JP023,Ultra
フルール・ド・バロネス,DP25-JP023,Secret
フルール・ド・フルーレ,DP25-JP024,Super
フルール・ド・フルーレ,DP25-JP024,Secret
シンクロ・ディレンマ,DP25-JP025,Rare
革命の御旗,DP25-JP026,Rare
時花の魔女－フルール・ド・ソルシエール,DP25-JP027,nomal
死の花－ネクロ・フルール,DP25-JP028,nomal
聖騎士ジャンヌ,DP25-JP029,nomal
フルール・シンクロン,DP25-JP030,nomal
フルール・ド・シュヴァリエ,DP25-JP031,nomal
Ｚ－ＯＮＥ,DP25-JP032,nomal
自由解放,DP25-JP033,nomal
ＬＬ－ベリル・カナリー,DP25-JP034,Rare
ＬＬ－セレスト・ワグテイル,DP25-JP035,Super
ＬＬ－セレスト・ワグテイル,DP25-JP035,Secret
ＬＬ－アンサンブルー・ロビン,DP25-JP036,Ultra
ＬＬ－アンサンブルー・ロビン,DP25-JP036,Secret
ＬＬ－プロム・スラッシュ,DP25-JP037,Super
ＬＬ－プロム・スラッシュ,DP25-JP037,Secret
ＬＬ－バード・コール,DP25-JP038,Super
ＬＬ－バード・コール,DP25-JP038,Secret
ＬＬ－バード・サンクチュアリ,DP25-JP039,Rare
ＬＬ－比翼の麗鳥,DP25-JP040,Rare
ＬＬ－コバルト・スパロー,DP25-JP041,nomal
ＬＬ－サファイア・スワロー,DP25-JP042,nomal
ＬＬ－ターコイズ・ワーブラー,DP25-JP043,nomal
ＬＬ－アセンブリー・ナイチンゲール,DP25-JP044,nomal
ＬＬ－リサイト・スターリング,DP25-JP045,nomal
