name,card_id,rare
銀河眼の時源竜,DP29-JP001,Ultra
銀河眼の時源竜,DP29-JP001,Secret
時空の雲篭,DP29-JP002,Rare
無限竜シュヴァルツシルト,DP29-JP003,Super
無限竜シュヴァルツシルト,DP29-JP003,Secret
神影金龍ドラッグルクシオン,DP29-JP004,Ultra
神影金龍ドラッグルクシオン,DP29-JP004,Secret
神影金龍ドラッグルクシオン,DP29-JP004,Quarter Century Secret
殲滅のタキオン・スパイラル,DP29-JP005,Rare
時空の七皇,DP29-JP006,Super
時空の七皇,DP29-JP006,Secret
ロード・オブ・ザ・タキオンギャラクシー,DP29-JP007,Rare
輝光竜セイファート,DP29-JP008,nomal
星雲龍ネビュラ,DP29-JP009,nomal
螺旋竜バルジ,DP29-JP010,nomal
Ｎｏ.１０７ 銀河眼の時空竜,DP29-JP011,Normal
Ｎｏ.１０７ 銀河眼の時空竜,DP29-JP011,Quarter Century Secret
ＣＮｏ.１０７ 超銀河眼の時空龍,DP29-JP012,Normal
ＣＮｏ.１０７ 超銀河眼の時空龍,DP29-JP012,Quarter Century Secret
Ｎｏ.９７ 龍影神ドラッグラビオン,DP29-JP013,nomal
銀河衛竜,DP29-JP014,nomal
ＲＵＭ－バリアンズ・フォース,DP29-JP015,nomal
七皇昇格,DP29-JP016,nomal
タキオン・トランスミグレイション,DP29-JP017,nomal
タキオン・ギャラクシースパイラル,DP29-JP018,nomal
Ｘ－クロス・キャノン,DP29-JP019,Super
Ｘ－クロス・キャノン,DP29-JP019,Secret
Ｙ－ドラゴン・イアヘッド,DP29-JP020,Rare
Ｚ－ジリオン・キャタピラー,DP29-JP021,Rare
ＸＹＺ－ハイパー・ドラゴン・キャノン,DP29-JP022,Ultra
ＸＹＺ－ハイパー・ドラゴン・キャノン,DP29-JP022,Secret
ＸＹＺ－ハイパー・ドラゴン・キャノン,DP29-JP022,Quarter Century Secret
ユニオン・コントローラー,DP29-JP023,Super
ユニオン・コントローラー,DP29-JP023,Secret
ユニオン・アクティベーション,DP29-JP024,Super
ユニオン・アクティベーション,DP29-JP024,Secret
ＡｔｏＺエナジーロード,DP29-JP025,Rare
Ｘ－ヘッド・キャノン,DP29-JP026,nomal
Ｙ－ドラゴン・ヘッド,DP29-JP027,nomal
Ｚ－メタル・キャタピラー,DP29-JP028,nomal
Ａ－アサルト・コア,DP29-JP029,nomal
Ｂ－バスター・ドレイク,DP29-JP030,nomal
Ｃ－クラッシュ・ワイバーン,DP29-JP031,nomal
ＸＹＺ－ドラゴン・キャノン,DP29-JP032,nomal
ＡＢＣ－ドラゴン・バスター,DP29-JP033,Normal
ＡＢＣ－ドラゴン・バスター,DP29-JP033,Quarter Century Secret
ＡｔｏＺ－ドラゴン・バスターキャノン,DP29-JP034,nomal
ユニオン格納庫,DP29-JP035,nomal
トリックスター・フーディ,DP29-JP036,Super
トリックスター・フーディ,DP29-JP036,Secret
トリックスター・アクアエンジェル,DP29-JP037,Ultra
トリックスター・アクアエンジェル,DP29-JP037,Secret
トリックスターバンド・ドラマチス,DP29-JP038,Rare
トリックスター・コルチカ,DP29-JP039,Super
トリックスター・コルチカ,DP29-JP039,Secret
トリックスター・ノーブルエンジェル,DP29-JP040,Ultra
トリックスター・ノーブルエンジェル,DP29-JP040,Secret
トリックスター・ノーブルエンジェル,DP29-JP040,Quarter Century Secret
トリックスター・ディフュージョン,DP29-JP041,Rare
青い涙の乙女,DP29-JP042,Rare
トリックスター・リリーベル,DP29-JP043,nomal
トリックスター・マンジュシカ,DP29-JP044,nomal
トリックスター・キャンディナ,DP29-JP045,nomal
トリックスター・キャロベイン,DP29-JP046,nomal
トリックスター・ブルム,DP29-JP047,nomal
トリックスター・ホーリーエンジェル,DP29-JP048,nomal
トリックスター・ライトステージ,DP29-JP049,Normal
トリックスター・ライトステージ,DP29-JP049,Quarter Century Secret
トリックスター・フェス,DP29-JP050,nomal
トリックスター・フュージョン,DP29-JP051,nomal
青い涙の天使,DP29-JP052,nomal
トリックスター・リンカーネイション,DP29-JP053,nomal
