name,card_id,rare
パワー・ツール・ドラゴン,DP27-JP000,Holographic
Ｄ・テレホン,DP27-JP001,Rare
Ｄ・スキャナン,DP27-JP002,Rare
ガジェット・ゲーマー,DP27-JP003,Super
ガジェット・ゲーマー,DP27-JP003,Secret
Ｄ・イヤホン,DP27-JP004,Ultra
Ｄ・イヤホン,DP27-JP004,Secret
パワー・ツール・ブレイバー・ドラゴン,DP27-JP005,Ultra
パワー・ツール・ブレイバー・ドラゴン,DP27-JP005,Secret
Ｄ・コンバートユニット,DP27-JP006,Super
Ｄ・コンバートユニット,DP27-JP006,Secret
命の奇跡,DP27-JP007,Rare
Ｄ・モバホン,DP27-JP008,nomal
Ｄ・スマホン,DP27-JP009,nomal
Ｄ・リモコン,DP27-JP010,nomal
Ｄ・ボードン,DP27-JP011,nomal
ガジェット・トレーラー,DP27-JP012,nomal
ガジェット・ドライバー,DP27-JP013,nomal
ライフ・ストリーム・ドラゴン,DP27-JP014,nomal
機械竜 パワー・ツール,DP27-JP015,nomal
ジャンクＢＯＸ,DP27-JP016,nomal
Ｄ・リペアユニット,DP27-JP017,nomal
ダブルツールＤ＆Ｃ,DP27-JP018,nomal
Ｄ・フィールド,DP27-JP019,nomal
パワー・ブレイク,DP27-JP020,nomal
宿神像ケルドウ,DP27-JP021,Super
宿神像ケルドウ,DP27-JP021,Secret
剣神官ムドラ,DP27-JP022,Rare
古尖兵ケルベク,DP27-JP023,Super
古尖兵ケルベク,DP27-JP023,Secret
古衛兵アギド,DP27-JP024,Super
古衛兵アギド,DP27-JP024,Secret
墓守の罠,DP27-JP025,Ultra
墓守の罠,DP27-JP025,Secret
絶望と希望の逆転,DP27-JP026,Rare
運命の抱く爆弾,DP27-JP027,Rare
予見者ゾルガ,DP27-JP028,nomal
現世と冥界の逆転,DP27-JP029,nomal
アマゾネスの金鞭使い,DP27-JP030,Rare
アマゾネスの銀剣使い,DP27-JP031,Rare
アマゾネスの戦士長,DP27-JP032,Super
アマゾネスの戦士長,DP27-JP032,Secret
アマゾネス霊術師,DP27-JP033,Super
アマゾネス霊術師,DP27-JP033,Secret
アマゾネス女帝王,DP27-JP034,Ultra
アマゾネス女帝王,DP27-JP034,Secret
アマゾネスペット虎獅王,DP27-JP035,Ultra
アマゾネスペット虎獅王,DP27-JP035,Secret
アマゾネスの秘術,DP27-JP036,Rare
アマゾネス女王,DP27-JP037,nomal
アマゾネス王女,DP27-JP038,nomal
アマゾネスペット虎,DP27-JP039,nomal
アマゾネスペット仔虎,DP27-JP040,nomal
アマゾネスの斥候,DP27-JP041,nomal
アマゾネス女帝,DP27-JP042,nomal
アマゾネスペット虎獅子,DP27-JP043,nomal
融合,DP27-JP044,nomal
アマゾネスの叫声,DP27-JP045,nomal
