name,card_id,rare
スターダスト・ドラゴン／バスター,DP09-JP001,Super
ロード・シンクロン,DP09-JP002,Rare
ターレット・ウォリアー,DP09-JP003,Rare
デブリ・ドラゴン,DP09-JP004,nomal
ハイパー・シンクロン,DP09-JP005,nomal
ロックストーン・ウォリアー,DP09-JP006,Rare
レベル・ウォリアー,DP09-JP007,nomal
救世竜 セイヴァー・ドラゴン,DP09-JP008,nomal
マックス・ウォリアー,DP09-JP009,Rare
クイック・シンクロン,DP09-JP010,nomal
レベル・スティーラー,DP09-JP011,nomal
ゼロ・ガードナー,DP09-JP012,nomal
ガントレット・ウォリアー,DP09-JP013,Ultra
エキセントリック・ボーイ,DP09-JP014,Super
ロード・ウォリアー,DP09-JP015,Rare
ジャンク・アーチャー,DP09-JP016,Ultra
プリベント・スター,DP09-JP017,nomal
ワン・フォー・ワン,DP09-JP018,Rare
拘束解放波,DP09-JP019,nomal
白銀の翼,DP09-JP020,nomal
アドバンスドロー,DP09-JP021,nomal
バスター・モード,DP09-JP022,nomal
スピリット・フォース,DP09-JP023,nomal
ロスト・スター・ディセント,DP09-JP024,nomal
奇跡の軌跡,DP09-JP025,nomal
スキル・サクセサー,DP09-JP026,Rare
トゥルース・リインフォース,DP09-JP027,nomal
スリップ・サモン,DP09-JP028,nomal
強制終了,DP09-JP029,Super
チューナーズ・バリア,DP09-JP030,Super
