name,card_id,rare
ジャンク・シンクロン,DP08-JP001,nomal
スピード・ウォリアー,DP08-JP002,nomal
ワンショット・ブースター,DP08-JP003,nomal
ニトロ・シンクロン,DP08-JP004,Rare
ボルト・ヘッジホッグ,DP08-JP005,Rare
デッド・ガードナー,DP08-JP006,nomal
シールド・ウォリアー,DP08-JP007,nomal
ヒール・ウェーバー,DP08-JP008,nomal
ターボ・シンクロン,DP08-JP009,nomal
マッシブ・ウォリアー,DP08-JP010,Super
チューニング・サポーター,DP08-JP011,Ultra
ジャンク・ウォリアー,DP08-JP012,nomal
ニトロ・ウォリアー,DP08-JP013,Rare
スターダスト・ドラゴン,DP08-JP014,Super
ターボ・ウォリアー,DP08-JP015,Rare
アームズ・エイド,DP08-JP016,Ultra
ファイティング・スピリッツ,DP08-JP017,nomal
ドミノ,DP08-JP018,nomal
ジャンク・アタック,DP08-JP019,nomal
カード・フリッパー,DP08-JP020,nomal
イクイップ・シュート,DP08-JP021,nomal
エンジェル・リフト,DP08-JP022,Rare
ガード・ブロック,DP08-JP023,Rare
悲劇の引き金,DP08-JP024,nomal
バトルマニア,DP08-JP025,nomal
コンフュージョン・チャフ,DP08-JP026,nomal
緊急同調,DP08-JP027,Rare
シンクロ・ストライク,DP08-JP028,nomal
ギブ＆テイク,DP08-JP029,Super
リミッター・ブレイク,DP08-JP030,Super
