name,card_id,rare
ゴゴゴゴーレム,DP14-JP001,Normal
ゴゴゴゴーレム,DP14-JP001,N-Parallel
ゴゴゴジャイアント,DP14-JP002,Rare
ゴゴゴゴースト,DP14-JP003,nomal
ゴゴゴギガース,DP14-JP004,nomal
ゴゴゴゴーレム－ＧＦ,DP14-JP005,Ultra
ドドドウォリアー,DP14-JP006,nomal
ドドドボット,DP14-JP007,nomal
ドドドバスター,DP14-JP008,Normal
ドドドバスター,DP14-JP008,N-Parallel
ドドドウィッチ,DP14-JP009,Rare
ドドドガッサー,DP14-JP010,Ultra
トイナイト,DP14-JP011,Rare
バク団,DP14-JP012,Normal
バク団,DP14-JP012,N-Parallel
護封剣の剣士,DP14-JP013,Super
トラブル・ダイバー,DP14-JP014,Rare
ズババナイト,DP14-JP015,nomal
ズバババスター,DP14-JP016,nomal
カードカー・Ｄ,DP14-JP017,Super
アマリリース,DP14-JP018,nomal
Ｎｏ.１７ リバイス・ドラゴン,DP14-JP019,Super
交響魔人マエストローク,DP14-JP020,Rare
Ｈ－Ｃ エクスカリバー,DP14-JP021,Super
ガントレット・シューター,DP14-JP022,nomal
エクシーズ・ギフト,DP14-JP023,nomal
最強の盾,DP14-JP024,nomal
レベル・マイスター,DP14-JP025,Rare
ゴゴゴ護符,DP14-JP026,Normal
ゴゴゴ護符,DP14-JP026,N-Parallel
バトル・ブレイク,DP14-JP027,nomal
ピンポイント・ガード,DP14-JP028,nomal
ハーフ・アンブレイク,DP14-JP029,Rare
魂の一撃,DP14-JP030,Normal
魂の一撃,DP14-JP030,N-Parallel
