name,card_id,rare
ズババナイト,DP12-JP001,Rare
ガンバラナイト,DP12-JP002,nomal
ガガガマジシャン,DP12-JP003,Rare
ゴゴゴゴーレム,DP12-JP004,nomal
アチャチャアーチャー,DP12-JP005,nomal
ゴブリンドバーグ,DP12-JP006,Rare
針剣士,DP12-JP007,nomal
カゲトカゲ,DP12-JP008,nomal
コロボックリ,DP12-JP009,nomal
マツボックル,DP12-JP010,nomal
ドドドウォリアー,DP12-JP011,Super
Ｎｏ.３９ 希望皇ホープ,DP12-JP012,Super
ベビー・トラゴン,DP12-JP013,Rare
Ｎｏ.８３ ギャラクシー・クィーン,DP12-JP014,Rare
Ｎｏ.６１ ヴォルカザウルス,DP12-JP015,Ultra
Ｎｏ.１９ フリーザードン,DP12-JP016,Ultra
破天荒な風,DP12-JP017,Rare
ワンダー・ワンド,DP12-JP018,nomal
ダブル・アップ・チャンス,DP12-JP019,nomal
サンダー・ショート,DP12-JP020,nomal
虚栄巨影,DP12-JP021,nomal
モンスター・スロット,DP12-JP022,nomal
ガガガバック,DP12-JP023,Super
油断大敵,DP12-JP024,nomal
痛恨の訴え,DP12-JP025,Rare
燃える闘志,DP12-JP026,nomal
ダメージ・ダイエット,DP12-JP027,nomal
コピー・ナイト,DP12-JP028,nomal
聖なる鎧 －ミラーメール－,DP12-JP029,nomal
ガガガシールド,DP12-JP030,Super
