name,card_id,rare
セイバーザウルス,DB12-JP001,Normal
Ｘ−セイバー アナペレラ,DB12-JP002,Normal
Ｘ−セイバー ガラハド,DB12-JP003,Normal
一刀両断侍,DB12-JP004,Normal
切り込み隊長,DB12-JP005,Normal
クリッター,DB12-JP006,Normal
スケルエンジェル,DB12-JP007,Normal
スノーマンイーター,DB12-JP008,Normal
ゼンマイソルジャー,DB12-JP009,Normal
ゼンマイドッグ,DB12-JP010,Normal
ゼンマイマイ,DB12-JP011,Normal
ならず者傭兵部隊,DB12-JP012,Normal
ボタニカル・ライオ,DB12-JP013,Normal
ボルテック・コング,DB12-JP014,Normal
マイン・ゴーレム,DB12-JP015,Normal
魔導戦士 ブレイカー,DB12-JP016,Normal
メタモルポット,DB12-JP017,Normal
サイバー・ドラゴン,DB12-JP018,Normal
霞の谷の執行者,DB12-JP019,Normal
雷帝ザボルグ,DB12-JP020,Normal
サイクロン,DB12-JP021,Normal
地砕き,DB12-JP022,Normal
地割れ,DB12-JP023,Normal
死者転生,DB12-JP024,Normal
スター・チェンジャー,DB12-JP025,Normal
増援,DB12-JP026,Normal
デス・メテオ,DB12-JP027,Normal
突進,DB12-JP028,Normal
波動キャノン,DB12-JP029,Normal
光の護封剣,DB12-JP030,Normal
魔導師の力,DB12-JP031,Normal
ライトニング・ボルテックス,DB12-JP032,Normal
激流葬,DB12-JP033,Normal
攻撃の無力化,DB12-JP034,Normal
砂塵の大竜巻,DB12-JP035,Normal
サンダー・ブレイク,DB12-JP036,Normal
聖なるバリア −ミラーフォース−,DB12-JP037,Normal
デモンズ・チェーン,DB12-JP038,Normal
魔法の筒,DB12-JP039,Normal
リビングデッドの呼び声,DB12-JP040,Normal
Ｎｏ.３９ 希望皇ホープ,DB12-JPS01,Secret
発条装攻ゼンマイオー,DB12-JPS02,Secret
Ｍ.Ｘ−セイバー インヴォーカー,DB12-JPS03,Secret
セイバーザウルス,DB12-JP001,Normal
Ｘ−セイバー アナペレラ,DB12-JP002,Normal
Ｘ−セイバー ガラハド,DB12-JP003,Normal
一刀両断侍,DB12-JP004,Normal
切り込み隊長,DB12-JP005,Normal
クリッター,DB12-JP006,Normal
スケルエンジェル,DB12-JP007,Normal
スノーマンイーター,DB12-JP008,Normal
ゼンマイソルジャー,DB12-JP009,Normal
ゼンマイドッグ,DB12-JP010,Normal
ゼンマイマイ,DB12-JP011,Normal
ならず者傭兵部隊,DB12-JP012,Normal
ボタニカル・ライオ,DB12-JP013,Normal
ボルテック・コング,DB12-JP014,Normal
マイン・ゴーレム,DB12-JP015,Normal
魔導戦士 ブレイカー,DB12-JP016,Normal
メタモルポット,DB12-JP017,Normal
サイバー・ドラゴン,DB12-JP018,Normal
霞の谷の執行者,DB12-JP019,Normal
雷帝ザボルグ,DB12-JP020,Normal
サイクロン,DB12-JP021,Normal
地砕き,DB12-JP022,Normal
地割れ,DB12-JP023,Normal
死者転生,DB12-JP024,Normal
スター・チェンジャー,DB12-JP025,Normal
増援,DB12-JP026,Normal
デス・メテオ,DB12-JP027,Normal
突進,DB12-JP028,Normal
波動キャノン,DB12-JP029,Normal
光の護封剣,DB12-JP030,Normal
魔導師の力,DB12-JP031,Normal
ライトニング・ボルテックス,DB12-JP032,Normal
激流葬,DB12-JP033,Normal
攻撃の無力化,DB12-JP034,Normal
砂塵の大竜巻,DB12-JP035,Normal
サンダー・ブレイク,DB12-JP036,Normal
聖なるバリア −ミラーフォース−,DB12-JP037,Normal
デモンズ・チェーン,DB12-JP038,Normal
魔法の筒,DB12-JP039,Normal
リビングデッドの呼び声,DB12-JP040,Normal
Ｎｏ.３９ 希望皇ホープ,DB12-JPS01,Secret
発条装攻ゼンマイオー,DB12-JPS02,Secret
Ｍ.Ｘ−セイバー インヴォーカー,DB12-JPS03,Secret
