name,card_id,rare
ヒューマノイド・スライム,DR02-JPA01,Normal
溶岩魔神ラヴァ・ゴーレム,DR02-JPA02,Ultra
レジェンド・デビル,DR02-JPA03,Normal
地獄詩人ヘルポエマー,DR02-JPA04,Normal
リバイバルスライム,DR02-JPA05,Normal
キラー・トマト,DR02-JPA06,Normal
ニュードリュア,DR02-JPA07,Normal
ホールディング・アームズ,DR02-JPA08,Normal
ボーガニアン,DR02-JPA09,Normal
デス・コアラ,DR02-JPA10,Normal
クリッター,DR02-JPA11,Normal
魔犬オクトロス,DR02-JPA12,Normal
ステルスバード,DR02-JPA13,Normal
魂を削る死霊,DR02-JPA14,Normal
闇の仮面,DR02-JPA15,Normal
メタモルポット,DR02-JPA16,Normal
死者蘇生,DR02-JPA17,Normal
強欲な壺,DR02-JPA18,Normal
悪夢の鉄檻,DR02-JPA19,Normal
魔界の足枷,DR02-JPA20,Normal
暗黒の扉,DR02-JPA21,Normal
悪夢の拷問部屋,DR02-JPA22,Normal
波動キャノン,DR02-JPA23,Normal
闇の護封剣,DR02-JPA24,Normal
自業自得,DR02-JPA25,Normal
仕込みマシンガン,DR02-JPA26,Normal
アヌビスの呪い,DR02-JPA27,Normal
身代わりの闇,DR02-JPA28,Normal
拷問車輪,DR02-JPA29,Normal
不吉な占い,DR02-JPA30,Normal
旅人の試練,DR02-JPA31,Normal
メタル・リフレクト・スライム,DR02-JPA32,Super
ギガ・ガガギゴ,DR02-JPB01,Normal
ジェノサイドキングサーモン,DR02-JPB02,Normal
海竜−ダイダロス,DR02-JPB03,Ultra
巨大戦艦 クリスタル・コア,DR02-JPB04,Normal
アトランティスの戦士,DR02-JPB05,Normal
アビス・ソルジャー,DR02-JPB06,Normal
水の精霊 アクエリア,DR02-JPB07,Normal
マーメイド・ナイト,DR02-JPB08,Normal
グリズリーマザー,DR02-JPB09,Normal
ペンギン・ナイトメア,DR02-JPB10,Normal
ニードル・ギルマン,DR02-JPB11,Normal
黄泉へ渡る船,DR02-JPB12,Normal
死者蘇生,DR02-JPB13,Normal
強欲な壺,DR02-JPB14,Normal
ライトニング・ボルテックス,DR02-JPB15,Normal
大嵐,DR02-JPB16,Normal
テラ・フォーミング,DR02-JPB17,Normal
アクア・ジェット,DR02-JPB18,Normal
サルベージ,DR02-JPB19,Normal
伝説の都 アトランティス,DR02-JPB20,Super
サイクロン,DR02-JPB21,Normal
早すぎた埋葬,DR02-JPB22,Normal
聖なるバリア −ミラーフォース−,DR02-JPB23,Normal
激流葬,DR02-JPB24,Normal
砂塵の大竜巻,DR02-JPB25,Normal
リビングデッドの呼び声,DR02-JPB26,Normal
千眼の邪教神,DR02-JPC01,Normal
溶岩魔神ラヴァ・ゴーレム,DR02-JPC02,Normal
魔導戦士 ブレイカー,DR02-JPC03,Normal
キラー・トマト,DR02-JPC04,Normal
マンジュ・ゴッド,DR02-JPC05,Normal
センジュ・ゴッド,DR02-JPC06,Normal
ソニックバード,DR02-JPC07,Normal
黒き森のウィッチ,DR02-JPC08,Normal
黒蠍−棘のミーネ,DR02-JPC09,Normal
黒蠍−罠はずしのクリフ,DR02-JPC10,Normal
クリッター,DR02-JPC11,Normal
サクリファイス,DR02-JPC12,Ultra
死者蘇生,DR02-JPC13,Normal
強欲な壺,DR02-JPC14,Normal
大嵐,DR02-JPC15,Normal
ダーク・バースト,DR02-JPC16,Normal
融合,DR02-JPC17,Normal
シールドクラッシュ,DR02-JPC18,Normal
サイクロン,DR02-JPC19,Normal
収縮,DR02-JPC20,Normal
月の書,DR02-JPC21,Normal
スケープ・ゴート,DR02-JPC22,Super
イリュージョンの儀式,DR02-JPC23,Normal
高等儀式術,DR02-JPC24,Normal
早すぎた埋葬,DR02-JPC25,Normal
聖なるバリア −ミラーフォース−,DR02-JPC26,Normal
砂塵の大竜巻,DR02-JPC27,Normal
亜空間物質転送装置,DR02-JPC28,Normal
重力解除,DR02-JPC29,Normal
リビングデッドの呼び声,DR02-JPC30,Normal
サウザンド・アイズ・サクリファイス,DR02-JPC31,Normal
クリッチー,DR02-JPC32,Normal
メルキド四面獣,DR02-JPD01,Normal
仮面呪術師カースド・ギュラ,DR02-JPD02,Normal
仮面魔獣デス・ガーディウス,DR02-JPD03,Ultra
ダーク・ネクロフィア,DR02-JPD04,Normal
冥界の魔王 ハ・デス,DR02-JPD05,Normal
死霊騎士デスカリバー・ナイト,DR02-JPD06,Normal
ニュート,DR02-JPD07,Normal
キラー・トマト,DR02-JPD08,Normal
ニュードリュア,DR02-JPD09,Normal
クリッター,DR02-JPD10,Normal
魔犬オクトロス,DR02-JPD11,Normal
深淵の暗殺者,DR02-JPD12,Normal
ジャイアントウィルス,DR02-JPD13,Normal
メタモルポット,DR02-JPD14,Normal
死者蘇生,DR02-JPD15,Normal
強欲な壺,DR02-JPD16,Normal
ライトニング・ボルテックス,DR02-JPD17,Normal
大嵐,DR02-JPD18,Normal
遺言の仮面,DR02-JPD19,Normal
強制転移,DR02-JPD20,Super
貪欲な壺,DR02-JPD21,Normal
予想ＧＵＹ,DR02-JPD22,Normal
サイクロン,DR02-JPD23,Normal
スケープ・ゴート,DR02-JPD24,Normal
早すぎた埋葬,DR02-JPD25,Normal
聖なるバリア −ミラーフォース−,DR02-JPD26,Normal
砂塵の大竜巻,DR02-JPD27,Normal
リビングデッドの呼び声,DR02-JPD28,Normal
強化蘇生,DR02-JPD29,Normal
ヒューマノイド・スライム,DR02-JPA01,Normal
溶岩魔神ラヴァ・ゴーレム,DR02-JPA02,Ultra
レジェンド・デビル,DR02-JPA03,Normal
地獄詩人ヘルポエマー,DR02-JPA04,Normal
リバイバルスライム,DR02-JPA05,Normal
キラー・トマト,DR02-JPA06,Normal
ニュードリュア,DR02-JPA07,Normal
ホールディング・アームズ,DR02-JPA08,Normal
ボーガニアン,DR02-JPA09,Normal
デス・コアラ,DR02-JPA10,Normal
クリッター,DR02-JPA11,Normal
魔犬オクトロス,DR02-JPA12,Normal
ステルスバード,DR02-JPA13,Normal
魂を削る死霊,DR02-JPA14,Normal
闇の仮面,DR02-JPA15,Normal
メタモルポット,DR02-JPA16,Normal
死者蘇生,DR02-JPA17,Normal
強欲な壺,DR02-JPA18,Normal
悪夢の鉄檻,DR02-JPA19,Normal
魔界の足枷,DR02-JPA20,Normal
暗黒の扉,DR02-JPA21,Normal
悪夢の拷問部屋,DR02-JPA22,Normal
波動キャノン,DR02-JPA23,Normal
闇の護封剣,DR02-JPA24,Normal
自業自得,DR02-JPA25,Normal
仕込みマシンガン,DR02-JPA26,Normal
アヌビスの呪い,DR02-JPA27,Normal
身代わりの闇,DR02-JPA28,Normal
拷問車輪,DR02-JPA29,Normal
不吉な占い,DR02-JPA30,Normal
旅人の試練,DR02-JPA31,Normal
メタル・リフレクト・スライム,DR02-JPA32,Super
ギガ・ガガギゴ,DR02-JPB01,Normal
ジェノサイドキングサーモン,DR02-JPB02,Normal
海竜−ダイダロス,DR02-JPB03,Ultra
巨大戦艦 クリスタル・コア,DR02-JPB04,Normal
アトランティスの戦士,DR02-JPB05,Normal
アビス・ソルジャー,DR02-JPB06,Normal
水の精霊 アクエリア,DR02-JPB07,Normal
マーメイド・ナイト,DR02-JPB08,Normal
グリズリーマザー,DR02-JPB09,Normal
ペンギン・ナイトメア,DR02-JPB10,Normal
ニードル・ギルマン,DR02-JPB11,Normal
黄泉へ渡る船,DR02-JPB12,Normal
死者蘇生,DR02-JPB13,Normal
強欲な壺,DR02-JPB14,Normal
ライトニング・ボルテックス,DR02-JPB15,Normal
大嵐,DR02-JPB16,Normal
テラ・フォーミング,DR02-JPB17,Normal
アクア・ジェット,DR02-JPB18,Normal
サルベージ,DR02-JPB19,Normal
伝説の都 アトランティス,DR02-JPB20,Super
サイクロン,DR02-JPB21,Normal
早すぎた埋葬,DR02-JPB22,Normal
聖なるバリア −ミラーフォース−,DR02-JPB23,Normal
激流葬,DR02-JPB24,Normal
砂塵の大竜巻,DR02-JPB25,Normal
リビングデッドの呼び声,DR02-JPB26,Normal
千眼の邪教神,DR02-JPC01,Normal
溶岩魔神ラヴァ・ゴーレム,DR02-JPC02,Normal
魔導戦士 ブレイカー,DR02-JPC03,Normal
キラー・トマト,DR02-JPC04,Normal
マンジュ・ゴッド,DR02-JPC05,Normal
センジュ・ゴッド,DR02-JPC06,Normal
ソニックバード,DR02-JPC07,Normal
黒き森のウィッチ,DR02-JPC08,Normal
黒蠍−棘のミーネ,DR02-JPC09,Normal
黒蠍−罠はずしのクリフ,DR02-JPC10,Normal
クリッター,DR02-JPC11,Normal
サクリファイス,DR02-JPC12,Ultra
死者蘇生,DR02-JPC13,Normal
強欲な壺,DR02-JPC14,Normal
大嵐,DR02-JPC15,Normal
ダーク・バースト,DR02-JPC16,Normal
融合,DR02-JPC17,Normal
シールドクラッシュ,DR02-JPC18,Normal
サイクロン,DR02-JPC19,Normal
収縮,DR02-JPC20,Normal
月の書,DR02-JPC21,Normal
スケープ・ゴート,DR02-JPC22,Super
イリュージョンの儀式,DR02-JPC23,Normal
高等儀式術,DR02-JPC24,Normal
早すぎた埋葬,DR02-JPC25,Normal
聖なるバリア −ミラーフォース−,DR02-JPC26,Normal
砂塵の大竜巻,DR02-JPC27,Normal
亜空間物質転送装置,DR02-JPC28,Normal
重力解除,DR02-JPC29,Normal
リビングデッドの呼び声,DR02-JPC30,Normal
サウザンド・アイズ・サクリファイス,DR02-JPC31,Normal
クリッチー,DR02-JPC32,Normal
メルキド四面獣,DR02-JPD01,Normal
仮面呪術師カースド・ギュラ,DR02-JPD02,Normal
仮面魔獣デス・ガーディウス,DR02-JPD03,Ultra
ダーク・ネクロフィア,DR02-JPD04,Normal
冥界の魔王 ハ・デス,DR02-JPD05,Normal
死霊騎士デスカリバー・ナイト,DR02-JPD06,Normal
ニュート,DR02-JPD07,Normal
キラー・トマト,DR02-JPD08,Normal
ニュードリュア,DR02-JPD09,Normal
クリッター,DR02-JPD10,Normal
魔犬オクトロス,DR02-JPD11,Normal
深淵の暗殺者,DR02-JPD12,Normal
ジャイアントウィルス,DR02-JPD13,Normal
メタモルポット,DR02-JPD14,Normal
死者蘇生,DR02-JPD15,Normal
