name,card_id,rare
ブラック・マジシャン,DR01-JPA01,Ultra
ブラック・マジシャン・ガール,DR01-JPA02,Super
カオス・マジシャン,DR01-JPA03,Normal
魔導戦士 ブレイカー,DR01-JPA04,Normal
熟練の黒魔術師,DR01-JPA05,Normal
霊滅術師 カイクウ,DR01-JPA06,Normal
予言僧 チョウレン,DR01-JPA07,Normal
魔導騎士 ディフェンダー,DR01-JPA08,Normal
魔道化リジョン,DR01-JPA09,Normal
黒き森のウィッチ,DR01-JPA10,Normal
お注射天使リリー,DR01-JPA11,Normal
執念深き老魔術師,DR01-JPA12,Normal
見習い魔術師,DR01-JPA13,Normal
マジカル・アンダーテイカー,DR01-JPA14,Normal
見習い魔笛使い,DR01-JPA15,Normal
聖なる魔術師,DR01-JPA16,Normal
死者蘇生,DR01-JPA17,Normal
強欲な壺,DR01-JPA18,Normal
ライトニング・ボルテックス,DR01-JPA19,Normal
ソウルテイカー,DR01-JPA20,Normal
光の護封剣,DR01-JPA21,Normal
黒魔術のカーテン,DR01-JPA22,Normal
黒魔術のヴェール,DR01-JPA23,Normal
黒・魔・導,DR01-JPA24,Normal
救魔の標,DR01-JPA25,Normal
サイクロン,DR01-JPA26,Normal
月の書,DR01-JPA27,Normal
ディメンション・マジック,DR01-JPA28,Normal
造反劇,DR01-JPA29,Normal
早すぎた埋葬,DR01-JPA30,Normal
聖なるバリア −ミラーフォース−,DR01-JPA31,Normal
魔法の筒,DR01-JPA32,Normal
マジシャンズ・サークル,DR01-JPA33,Normal
ダーク・ホライズン,DR01-JPA34,Normal
砂塵の大竜巻,DR01-JPA35,Normal
リビングデッドの呼び声,DR01-JPA36,Normal
青眼の白龍,DR01-JPB01,Ultra
アレキサンドライドラゴン,DR01-JPB02,Normal
サファイアドラゴン,DR01-JPB03,Normal
洞窟に潜む竜,DR01-JPB04,Normal
アサルトワイバーン,DR01-JPB05,Normal
仮面竜,DR01-JPB06,Normal
ボマー・ドラゴン,DR01-JPB07,Normal
コドモドラゴン,DR01-JPB08,Normal
創世の竜騎士,DR01-JPB09,Normal
マンジュ・ゴッド,DR01-JPB10,Normal
センジュ・ゴッド,DR01-JPB11,Normal
ソニックバード,DR01-JPB12,Normal
白竜の聖騎士,DR01-JPB13,Normal
死者蘇生,DR01-JPB14,Normal
強欲な壺,DR01-JPB15,Normal
ライトニング・ボルテックス,DR01-JPB16,Normal
大嵐,DR01-JPB17,Normal
サイクロン,DR01-JPB18,Normal
収縮,DR01-JPB19,Normal
月の書,DR01-JPB20,Normal
銀龍の轟咆,DR01-JPB21,Normal
禁じられた聖槍,DR01-JPB22,Normal
白竜降臨,DR01-JPB23,Normal
高等儀式術,DR01-JPB24,Super
早すぎた埋葬,DR01-JPB25,Normal
聖なるバリア −ミラーフォース−,DR01-JPB26,Normal
激流葬,DR01-JPB27,Normal
砂塵の大竜巻,DR01-JPB28,Normal
リビングデッドの呼び声,DR01-JPB29,Normal
強化蘇生,DR01-JPB30,Normal
戦線復帰,DR01-JPB31,Normal
剣聖−ネイキッド・ギア・フリード,DR01-JPC01,Ultra
魔導ギガサイバー,DR01-JPC02,Normal
ダーク・ヒーロー ゾンバイア,DR01-JPC03,Normal
鉄の騎士 ギア・フリード,DR01-JPC04,Normal
Ｄ.Ｄ.アサイラント,DR01-JPC05,Normal
朱雀の召喚士,DR01-JPC06,Normal
異次元の女戦士,DR01-JPC07,Normal
翻弄するエルフの剣士,DR01-JPC08,Normal
コマンド・ナイト,DR01-JPC09,Normal
一撃必殺侍,DR01-JPC10,Normal
異次元の戦士,DR01-JPC11,Normal
荒野の女戦士,DR01-JPC12,Normal
ならず者傭兵部隊,DR01-JPC13,Normal
聖なる守り手,DR01-JPC14,Normal
死者蘇生,DR01-JPC15,Normal
強欲な壺,DR01-JPC16,Normal
ライトニング・ボルテックス,DR01-JPC17,Normal
大嵐,DR01-JPC18,Normal
サイクロン,DR01-JPC19,Normal
増援,DR01-JPC20,Super
戦士の生還,DR01-JPC21,Normal
拘束解除,DR01-JPC22,Normal
融合武器ムラサメブレード,DR01-JPC23,Normal
団結の力,DR01-JPC24,Normal
聖なるバリア −ミラーフォース−,DR01-JPC25,Normal
奈落の落とし穴,DR01-JPC26,Normal
鎖付きブーメラン,DR01-JPC27,Normal
メタル化・魔法反射装甲,DR01-JPC28,Normal
鎖付き爆弾,DR01-JPC29,Normal
リビングデッドの呼び声,DR01-JPC30,Normal
ピンポイント・ガード,DR01-JPC31,Normal
モンスターＢＯＸ,DR01-JPC32,Normal
ブラック・マジシャン,DR01-JPA01,Ultra
ブラック・マジシャン・ガール,DR01-JPA02,Super
カオス・マジシャン,DR01-JPA03,Normal
魔導戦士 ブレイカー,DR01-JPA04,Normal
熟練の黒魔術師,DR01-JPA05,Normal
霊滅術師 カイクウ,DR01-JPA06,Normal
予言僧 チョウレン,DR01-JPA07,Normal
魔導騎士 ディフェンダー,DR01-JPA08,Normal
魔道化リジョン,DR01-JPA09,Normal
黒き森のウィッチ,DR01-JPA10,Normal
お注射天使リリー,DR01-JPA11,Normal
執念深き老魔術師,DR01-JPA12,Normal
見習い魔術師,DR01-JPA13,Normal
マジカル・アンダーテイカー,DR01-JPA14,Normal
見習い魔笛使い,DR01-JPA15,Normal
聖なる魔術師,DR01-JPA16,Normal
死者蘇生,DR01-JPA17,Normal
強欲な壺,DR01-JPA18,Normal
ライトニング・ボルテックス,DR01-JPA19,Normal
ソウルテイカー,DR01-JPA20,Normal
光の護封剣,DR01-JPA21,Normal
黒魔術のカーテン,DR01-JPA22,Normal
黒魔術のヴェール,DR01-JPA23,Normal
黒・魔・導,DR01-JPA24,Normal
救魔の標,DR01-JPA25,Normal
サイクロン,DR01-JPA26,Normal
月の書,DR01-JPA27,Normal
ディメンション・マジック,DR01-JPA28,Normal
造反劇,DR01-JPA29,Normal
早すぎた埋葬,DR01-JPA30,Normal
聖なるバリア −ミラーフォース−,DR01-JPA31,Normal
魔法の筒,DR01-JPA32,Normal
