name,card_id,rare
ＥＭチアモール,NECH-JP001,Rare
ＥＭトランポリンクス,NECH-JP002,Rare
ブロック・スパイダー,NECH-JP003,nomal
幻奏の音女カノン,NECH-JP004,nomal
幻奏の音女セレナ,NECH-JP005,nomal
幻奏の音女エレジー,NECH-JP006,nomal
幻奏の音姫ローリイット・フランソワ,NECH-JP007,Rare
超重武者カブ－１０,NECH-JP008,nomal
超重武者テンＢ－Ｎ,NECH-JP009,Super
超重武者装留ファイヤー・アーマー,NECH-JP010,nomal
超重武者装留グレート・ウォール,NECH-JP011,nomal
超重武者装留ブレイク・アーマー,NECH-JP012,nomal
超重武者装留ビッグバン,NECH-JP013,nomal
エッジインプ・シザー,NECH-JP014,Rare
ファーニマル・ライオ,NECH-JP015,nomal
ファーニマル・ベア,NECH-JP016,nomal
ファーニマル・ドッグ,NECH-JP017,Rare
ファーニマル・オウル,NECH-JP018,nomal
ファーニマル・キャット,NECH-JP019,nomal
ファーニマル・ラビット,NECH-JP020,nomal
クリフォート・ツール,NECH-JP021,Rare
クリフォート・アーカイブ,NECH-JP022,nomal
クリフォート・ゲノム,NECH-JP023,nomal
クリフォート・ディスク,NECH-JP024,Super
クリフォート・シェル,NECH-JP025,nomal
アポクリフォート・キラー,NECH-JP026,Rare
星因士 シリウス,NECH-JP027,Rare
星因士 プロキオン,NECH-JP028,nomal
星因士 ベテルギウス,NECH-JP029,nomal
シャドール・ハウンド,NECH-JP030,nomal
魔竜星－トウテツ,NECH-JP031,nomal
闇竜星－ジョクト,NECH-JP032,Super
竜胆ブルーム,NECH-JP033,nomal
ナイト・ドラゴリッチ,NECH-JP034,nomal
破面竜,NECH-JP035,nomal
マシンナーズ・メガフォーム,NECH-JP036,nomal
轟雷帝ザボルグ,NECH-JP037,Super
森の聖獣 ヴァレリフォーン,NECH-JP038,nomal
レスキューラット,NECH-JP039,Rare
番犬－ウォッチドッグ,NECH-JP040,nomal
電光－雪花－,NECH-JP041,nomal
ブンボーグ００２,NECH-JP042,nomal
Ｍｓ.ＪＵＤＧＥ,NECH-JP043,N-Rare
おねだりゴブリン,NECH-JP044,N-Rare
崇光なる宣告者,NECH-JP045,Super
デストーイ・シザー・ベアー,NECH-JP046,Ultra
デストーイ・シザー・ベアー,NECH-JP046,Ultimate(Secret)
デストーイ・シザー・ウルフ,NECH-JP047,Rare
エルシャドール・エグリスタ,NECH-JP048,Super
エルシャドール・シェキナーガ,NECH-JP049,Ultra
エルシャドール・シェキナーガ,NECH-JP049,Ultimate(Secret)
始祖竜ワイアーム,NECH-JP050,Rare
邪竜星－ガイザー,NECH-JP051,Ultra
邪竜星－ガイザー,NECH-JP051,Ultimate(Secret)
虹光の宣告者,NECH-JP052,Rare
ダーク・リベリオン・エクシーズ・ドラゴン,NECH-JP053,Ultra
ダーク・リベリオン・エクシーズ・ドラゴン,NECH-JP053,Ultimate(Secret)
ダーク・リベリオン・エクシーズ・ドラゴン,NECH-JP053,Holographic
星輝士 トライヴェール,NECH-JP054,Ultra
星輝士 トライヴェール,NECH-JP054,Ultimate(Secret)
ワンダー・バルーン,NECH-JP055,nomal
モノマネンド,NECH-JP056,nomal
ドロー・マッスル,NECH-JP057,Rare
マジカル・スター・イリュージョン,NECH-JP058,nomal
独奏の第１楽章,NECH-JP059,Rare
トイポット,NECH-JP060,nomal
機殻の生贄,NECH-JP061,nomal
機殻の要塞,NECH-JP062,nomal
星守る結界,NECH-JP063,nomal
神の写し身との接触,NECH-JP064,Rare
異層空間,NECH-JP065,nomal
宣告者の神託,NECH-JP066,nomal
帝王の轟毅,NECH-JP067,nomal
妖刀竹光,NECH-JP068,N-Rare
エンタメ・フラッシュ,NECH-JP069,nomal
ＥＭリバイバル,NECH-JP070,nomal
びっくり箱,NECH-JP071,nomal
幻影騎士団シャドーベイル,NECH-JP072,nomal
隠されし機殻,NECH-JP073,nomal
起動する機殻,NECH-JP074,nomal
竜星の凶暴化,NECH-JP075,nomal
ナチュルの神星樹,NECH-JP076,nomal
竜魂の幻泉,NECH-JP077,Rare
融合準備,NECH-JP078,nomal
神の忠告,NECH-JP079,Super
異次元の邂逅,NECH-JP080,N-Rare
ＦＮｏ.０ 未来皇ホープ,NECH-JP081,Ultra
ＦＮｏ.０ 未来皇ホープ,NECH-JP081,Ultimate(Secret)
ガガガザムライ,NECH-JP082,Rare
ガガガマンサー,NECH-JP083,Super
ガードゴー！,NECH-JP084,nomal
かっとビング・チャレンジ,NECH-JP085,Rare
運命の扉,NECH-JP086,nomal
Ｅ・ＨＥＲＯ ブレイズマン,NECH-JP087,Super
ナチュル・ガイアストライオ,NECH-JP088,Rare
幻獣機ヤクルスラーン,NECH-JP089,Rare
ゴーストリックの駄天使,NECH-JP090,Super
