name,card_id,rare
幻影騎士団ダスティローブ,SPWR-JP001,Super
幻影騎士団サイレントブーツ,SPWR-JP002,Super
幻影騎士団ラギッドグローブ,SPWR-JP003,nomal
幻影騎士団クラックヘルム,SPWR-JP004,nomal
幻影騎士団フラジャイルアーマー,SPWR-JP005,Super
幻影騎士団ブレイクソード,SPWR-JP006,Secret
ダーク・リベリオン・エクシーズ・ドラゴン,SPWR-JP007,Super
幻影死槍,SPWR-JP008,nomal
幻影霧剣,SPWR-JP009,Super
幻影剣,SPWR-JP010,nomal
幻影翼,SPWR-JP011,nomal
幻影騎士団シャドーベイル,SPWR-JP012,nomal
ブービートラップＥ,SPWR-JP013,nomal
ＲＲ－ネクロ・ヴァルチャー,SPWR-JP014,Super
ＲＲ－ラスト・ストリクス,SPWR-JP015,nomal
ＲＲ－バニシング・レイニアス,SPWR-JP016,nomal
ＲＲ－ファジー・レイニアス,SPWR-JP017,nomal
ＲＲ－シンギング・レイニアス,SPWR-JP018,nomal
ＲＲ－インペイル・レイニアス,SPWR-JP019,nomal
ＲＲ－ミミクリー・レイニアス,SPWR-JP020,nomal
ＲＲ－トリビュート・レイニアス,SPWR-JP021,Super
ＲＲ－フォース・ストリクス,SPWR-JP022,Super
ＲＲ－レヴォリューション・ファルコン,SPWR-JP023,nomal
ＲＲ－サテライト・キャノン・ファルコン,SPWR-JP024,Secret
ＲＲ－コール,SPWR-JP025,Super
ＲＲ－ネスト,SPWR-JP026,nomal
ＲＵＭ－デス・ダブル・フォース,SPWR-JP027,nomal
ＲＵＭ－ソウル・シェイブ・フォース,SPWR-JP028,Super
ＲＲ－レディネス,SPWR-JP029,nomal
超量士レッドレイヤー,SPWR-JP030,Super
超量士グリーンレイヤー,SPWR-JP031,nomal
超量士ブルーレイヤー,SPWR-JP032,nomal
超量妖精アルファン,SPWR-JP033,nomal
超量機獣グランパルス,SPWR-JP034,nomal
超量機獣エアロボロス,SPWR-JP035,nomal
超量機獣マグナライガー,SPWR-JP036,Super
超量機神王グレート・マグナス,SPWR-JP037,Secret
超量機艦マグナキャリア,SPWR-JP038,nomal
超量機神剣－マグナスレイヤー,SPWR-JP039,nomal
サイクロン,SPWR-JP040,nomal
禁じられた聖杯,SPWR-JP041,nomal
スワローズ・ネスト,SPWR-JP042,nomal
奈落の落とし穴,SPWR-JP043,nomal
リビングデッドの呼び声,SPWR-JP044,nomal
エクシーズ・リボーン,SPWR-JP045,nomal
