name,card_id,rare
ＳＲベイゴマックス,SPHR-JP001,Super
ＳＲ三つ目のダイス,SPHR-JP002,nomal
ＳＲダブルヨーヨー,SPHR-JP003,nomal
ＳＲシェイブー・メラン,SPHR-JP004,nomal
ＳＲメンコート,SPHR-JP005,nomal
ＳＲタケトンボーグ,SPHR-JP006,nomal
ＳＲオハジキッド,SPHR-JP007,nomal
ＳＲ赤目のダイス,SPHR-JP008,Super
ＨＳＲ魔剣ダーマ,SPHR-JP009,Super
ＨＳＲチャンバライダー,SPHR-JP010,Secret
スピードリバース,SPHR-JP011,Super
ヒドゥン・ショット,SPHR-JP012,nomal
シンクロ・クラッカー,SPHR-JP013,nomal
ダイスロール・バトル,SPHR-JP014,nomal
レッド・スプリンター,SPHR-JP015,Super
レッド・リゾネーター,SPHR-JP016,nomal
シンクローン・リゾネーター,SPHR-JP017,nomal
チェーン・リゾネーター,SPHR-JP018,nomal
ミラー・リゾネーター,SPHR-JP019,Super
ダーク・リゾネーター,SPHR-JP020,nomal
バイス・ドラゴン,SPHR-JP021,nomal
レッド・ワイバーン,SPHR-JP022,Secret
レッド・デーモンズ・ドラゴン,SPHR-JP023,nomal
スカーレッド・ノヴァ・ドラゴン,SPHR-JP024,Super
コール・リゾネーター,SPHR-JP025,nomal
スカーレッド・コクーン,SPHR-JP026,nomal
スカーレッド・カーペット,SPHR-JP027,nomal
ＰＳＹフレーム・ドライバー,SPHR-JP028,nomal
ＰＳＹフレームギア・α,SPHR-JP029,nomal
ＰＳＹフレームギア・β,SPHR-JP030,nomal
ＰＳＹフレームギア・γ,SPHR-JP031,nomal
ＰＳＹフレームギア・δ,SPHR-JP032,nomal
ＰＳＹフレームギア・ε,SPHR-JP033,nomal
ＰＳＹフレームロード・Ζ,SPHR-JP034,Super
ＰＳＹフレームロード・Ω,SPHR-JP035,Secret
ＰＳＹフレーム・サーキット,SPHR-JP036,nomal
ＰＳＹフレーム・オーバーロード,SPHR-JP037,nomal
ゴヨウ・チェイサー,SPHR-JP038,Super
ゴヨウ・プレデター,SPHR-JP039,Super
えん魔竜 レッド・デーモン・アビス,SPHR-JP040,Super
えん魔竜 レッド・デーモン・ベリアル,SPHR-JP041,Super
カードカー・Ｄ,SPHR-JP042,nomal
サイクロン,SPHR-JP043,nomal
強欲で謙虚な壺,SPHR-JP044,nomal
強制脱出装置,SPHR-JP045,nomal
