name,card_id,rare
捕食植物セラセニアント,SPFE-JP001,nomal
捕食植物ドロソフィルム・ヒドラ,SPFE-JP002,Super
捕食植物プテロペンテス,SPFE-JP003,nomal
捕食植物スピノ・ディオネア,SPFE-JP004,nomal
捕食植物サンデウ・キンジー,SPFE-JP005,Super
捕食植物フライ・ヘル,SPFE-JP006,nomal
捕食植物モーレイ・ネペンテス,SPFE-JP007,nomal
捕食植物スキッド・ドロセーラ,SPFE-JP008,nomal
捕食植物キメラフレシア,SPFE-JP009,Super
グリーディー・ヴェノム・フュージョン・ドラゴン,SPFE-JP010,Secret
プレデター・プランター,SPFE-JP011,Super
捕食接ぎ木,SPFE-JP012,nomal
捕食惑星,SPFE-JP013,nomal
ファーニマル・オクト,SPFE-JP014,Super
ファーニマル・ペンギン,SPFE-JP015,nomal
ファーニマル・ドッグ,SPFE-JP016,nomal
ファーニマル・オウル,SPFE-JP017,nomal
エッジインプ・シザー,SPFE-JP018,nomal
エッジインプ・チェーン,SPFE-JP019,nomal
デストーイ・ハーケン・クラーケン,SPFE-JP020,Secret
デストーイ・シザー・ウルフ,SPFE-JP021,nomal
デストーイ・シザー・タイガー,SPFE-JP022,Super
デストーイ・チェーン・シープ,SPFE-JP023,nomal
トイポット,SPFE-JP024,nomal
魔玩具融合,SPFE-JP025,nomal
召喚師アレイスター,SPFE-JP026,Super
召喚獣カリギュラ,SPFE-JP027,Super
召喚獣ライディーン,SPFE-JP028,Super
召喚獣コキュートス,SPFE-JP029,nomal
召喚獣プルガトリオ,SPFE-JP030,nomal
召喚獣メガラニカ,SPFE-JP031,nomal
召喚獣メルカバー,SPFE-JP032,Super
召喚獣エリュシオン,SPFE-JP033,Secret
暴走魔法陣,SPFE-JP034,nomal
召喚魔術,SPFE-JP035,Super
法の聖典,SPFE-JP036,nomal
魔法名－「大いなる獣」,SPFE-JP037,nomal
幻想召喚師,SPFE-JP038,nomal
召喚僧サモンプリースト,SPFE-JP039,nomal
沼地の魔神王,SPFE-JP040,nomal
置換融合,SPFE-JP041,nomal
簡易融合,SPFE-JP042,nomal
超融合,SPFE-JP043,Super
融合回収,SPFE-JP044,nomal
鳳翼の爆風,SPFE-JP045,nomal
