name,card_id,rare
ＥＭスカイ・マジシャン,MACR-JP001,Ultra
ＥＭスカイ・マジシャン,MACR-JP001,Ultimate
ＥＭスカイ・マジシャン,MACR-JP001,Secret
ＥＭスカイ・ピューピル,MACR-JP002,Rare
ＥＭレビュー・ダンサー,MACR-JP003,nomal
ＥＭユーゴーレム,MACR-JP004,nomal
ＥＭ小判竜,MACR-JP005,Rare
ＳＲビードロ・ドクロ,MACR-JP006,nomal
ＳＲアクマグネ,MACR-JP007,nomal
ＳＲ５６プレーン,MACR-JP008,Rare
捕食植物オフリス・スコーピオ,MACR-JP009,Rare
捕食植物ダーリング・コブラ,MACR-JP010,nomal
捕食植物コーディセップス,MACR-JP011,nomal
ＬＬ－コバルト・スパロー,MACR-JP012,nomal
ＬＬ－サファイア・スワロー,MACR-JP013,nomal
ＬＬ－ターコイズ・ワーブラー,MACR-JP014,nomal
ＤＤゴースト,MACR-JP015,nomal
ダブル・リゾネーター,MACR-JP016,nomal
覇王門零,MACR-JP017,Rare
覇王門無限,MACR-JP018,Rare
覇王眷竜ダークヴルム,MACR-JP019,nomal
真竜導士マジェスティＭ,MACR-JP020,nomal
真竜戦士イグニスＨ,MACR-JP021,nomal
真竜拳士ダイナマイトＫ,MACR-JP022,nomal
真竜騎将ドライアスＩＩＩ世,MACR-JP023,nomal
真竜剣皇マスターＰ,MACR-JP024,Super
真竜剣皇マスターＰ,MACR-JP024,Secret
真竜機兵ダースメタトロン,MACR-JP025,Ultra
真竜機兵ダースメタトロン,MACR-JP025,Ultimate
真竜機兵ダースメタトロン,MACR-JP025,Secret
真竜凰マリアムネ,MACR-JP026,Super
真竜凰マリアムネ,MACR-JP026,Secret
十二獣クックル,MACR-JP027,nomal
幻煌龍 スパイラル,MACR-JP028,Rare
電子光虫－ＬＥＤバグ,MACR-JP029,nomal
智天の神星龍,MACR-JP030,Ultra
智天の神星龍,MACR-JP030,Ultimate
智天の神星龍,MACR-JP030,Secret
影霊衣の巫女 エリアル,MACR-JP031,Rare
巨大戦艦 ビッグ・コアＭｋ－ＩＩＩ,MACR-JP032,Super
巨大戦艦 ビッグ・コアＭｋ－ＩＩＩ,MACR-JP032,Secret
ペンデュラムーチョ,MACR-JP033,Rare
バオバブーン,MACR-JP034,nomal
ファイヤークラッカー,MACR-JP035,nomal
灰流うらら,MACR-JP036,Super
灰流うらら,MACR-JP036,Secret
憑依装着－ライナ,MACR-JP037,N-Rare
妖精伝姫－カグヤ,MACR-JP038,N-Rare
覇王龍ズァーク,MACR-JP039,Ultra
覇王龍ズァーク,MACR-JP039,Ultimate
覇王龍ズァーク,MACR-JP039,Secret
覇王龍ズァーク,MACR-JP039,Holographic
ＥＭガトリングール,MACR-JP040,Super
ＥＭガトリングール,MACR-JP040,Secret
ＬＬ－インディペンデント・ナイチンゲール,MACR-JP041,Rare
幻影騎士団カースド・ジャベリン,MACR-JP042,Super
幻影騎士団カースド・ジャベリン,MACR-JP042,Secret
ＬＬ－アセンブリー・ナイチンゲール,MACR-JP043,Rare
ＲＲ－エトランゼ・ファルコン,MACR-JP044,Super
ＲＲ－エトランゼ・ファルコン,MACR-JP044,Secret
ＤＤＤ磐石王ダリウス,MACR-JP045,Super
ＤＤＤ磐石王ダリウス,MACR-JP045,Secret
真竜皇Ｖ.Ｆ.Ｄ.,MACR-JP046,Ultra
真竜皇Ｖ.Ｆ.Ｄ.,MACR-JP046,Ultimate
真竜皇Ｖ.Ｆ.Ｄ.,MACR-JP046,Secret
十二獣ハマーコング,MACR-JP047,nomal
十二獣ライカ,MACR-JP048,Rare
魔術師の右手,MACR-JP049,nomal
魔術師の左手,MACR-JP050,nomal
魔術師の再演,MACR-JP051,Rare
超越融合,MACR-JP052,Ultra
超越融合,MACR-JP052,Ultimate
超越融合,MACR-JP052,Secret
ドラゴニックＤ,MACR-JP053,nomal
真竜の継承,MACR-JP054,nomal
真竜凰の使徒,MACR-JP055,nomal
幻煌の都 パシフィス,MACR-JP056,Rare
幻煌龍の螺旋突,MACR-JP057,nomal
幻煌龍の螺旋絞,MACR-JP058,nomal
幻煌龍の螺旋波,MACR-JP059,nomal
光虫信号,MACR-JP060,nomal
セフィラの神意,MACR-JP061,Rare
巨大要塞ゼロス,MACR-JP062,nomal
デュエリスト・アドベント,MACR-JP063,Super
デュエリスト・アドベント,MACR-JP063,Secret
盆回し,MACR-JP064,N-Rare
決別,MACR-JP065,nomal
幻影騎士団ロスト・ヴァンブレイズ,MACR-JP066,nomal
幻影騎士団ウロング・マグネリング,MACR-JP067,nomal
常闇の契約書,MACR-JP068,Rare
真竜皇の復活,MACR-JP069,Rare
真竜の黙示録,MACR-JP070,nomal
十二獣の相剋,MACR-JP071,nomal
幻煌龍の戦渦,MACR-JP072,Rare
幻煌龍の浸渦,MACR-JP073,nomal
幻煌龍の天渦,MACR-JP074,nomal
破壊剣士の揺籃,MACR-JP075,nomal
ダイナミスト・ハウリング,MACR-JP076,nomal
セフィラの星戦,MACR-JP077,nomal
幽麗なる幻滝,MACR-JP078,nomal
醒めない悪夢,MACR-JP079,Super
醒めない悪夢,MACR-JP079,Secret
ダイヤモンドダストン,MACR-JP080,N-Rare
