name,card_id,rare
逃げまどう民,302-001,nomal
弾圧される民,302-002,nomal
団結するレジスタンス,302-003,nomal
Ｘ－ヘッド・キャノン,302-004,Super
Ｙ－ドラゴン・ヘッド,302-005,Ultra
Ｙ－ドラゴン・ヘッド,302-005,Parallel
Ｚ－メタル・キャタピラー,302-006,Super
闇魔界の戦士 ダークソード,302-007,Super
漆黒の闘龍,302-008,nomal
騎竜,302-009,nomal
朽ち果てた武将,302-010,nomal
ゾンビタイガー,302-011,nomal
ジャイアント・オーク,302-012,nomal
セコンド・ゴブリン,302-013,nomal
ブラッド・オーキス,302-014,nomal
デス・デンドル,302-015,nomal
灼岩魔獣,302-016,nomal
氷岩魔獣,302-017,nomal
ユニオン・ライダー,302-018,nomal
異次元の狂獣,302-019,nomal
マジック・キャンセラー,302-020,Ultra
マジック・キャンセラー,302-020,Parallel
ネコマネキング,302-021,N-Rare
白兵戦型お手伝いロボ,302-022,Rare
ディメンション・ポッド,302-023,nomal
世紀の大泥棒,302-024,Rare
ルーレットボマー,302-025,nomal
白竜の聖騎士,302-026,Ultra
白竜の聖騎士,302-026,Parallel
白竜降臨,302-027,nomal
前線基地,302-028,nomal
降格処分,302-029,nomal
コンビネーション・アタック,302-030,Rare
カイザーコロシアム,302-031,nomal
自律行動ユニット,302-032,nomal
ご隠居の猛毒薬,302-033,nomal
アンティ勝負,302-034,Rare
ブラック・コア,302-035,Rare
レアゴールド・アーマー,302-036,nomal
メタルシルバー・アーマー,302-037,nomal
騎士道精神,302-038,nomal
生け贄人形,302-039,Rare
波動キャノン,302-040,nomal
大革命,302-041,nomal
覇者の一括,302-042,nomal
八式対魔法多重結界,302-043,Super
メテオ・レイン,302-044,nomal
パイナップル爆弾,302-045,nomal
仕込みマシンガン,302-046,nomal
物理分身,302-047,nomal
群雄割拠,302-048,nomal
フォーメーション・ユニオン,302-049,nomal
粘着落とし穴,302-050,nomal
ＸＹ－ドラゴン・キャノン,302-051,Secret
ＸＹ－ドラゴン・キャノン,302-051,Ultimate
ＸＹＺ－ドラゴン・キャノン,302-052,Secret
ＸＹＺ－ドラゴン・キャノン,302-052,Ultimate
ＸＺ－キャタピラー・キャノン,302-053,Secret
ＹＺ－キャタピラー・ドラゴン,302-054,Secret
リボルバー・ドラゴン,302-055,Ultimate
