name,card_id,rare
真青眼の究極竜,MVP1-JP001,nomal
カイザー・ブラッド・ヴォルス,MVP1-JP002,nomal
アサルトワイバーン,MVP1-JP003,nomal
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,MVP1-JP004,nomal
ディープアイズ・ホワイト・ドラゴン,MVP1-JP005,nomal
パンデミック・ドラゴン,MVP1-JP006,nomal
竜の闘志,MVP1-JP007,nomal
カオス・フォーム,MVP1-JP008,nomal
融爆,MVP1-JP009,nomal
カウンター・ゲート,MVP1-JP010,nomal
クリスタル・アバター,MVP1-JP011,nomal
岩石の番兵,MVP1-JP012,nomal
マシュマカロン,MVP1-JP013,nomal
ベリー・マジシャン・ガール,MVP1-JP014,nomal
アップル・マジシャン・ガール,MVP1-JP015,nomal
キウイ・マジシャン・ガール,MVP1-JP016,nomal
シルバー・ガジェット,MVP1-JP017,nomal
ゴールド・ガジェット,MVP1-JP018,nomal
黒魔術のヴェール,MVP1-JP019,nomal
魔導契約の扉,MVP1-JP020,nomal
ディメンション・リフレクター,MVP1-JP021,nomal
運命の発掘,MVP1-JP022,nomal
ディメンション・スフィンクス,MVP1-JP023,nomal
ディメンション・ガーディアン,MVP1-JP024,nomal
ディメンション・ミラージュ,MVP1-JP025,nomal
ダーク・ホライズン,MVP1-JP026,nomal
メタモル・クレイ・フォートレス,MVP1-JP027,nomal
マジシャンズ・プロテクション,MVP1-JP028,nomal
ファイナル・ギアス,MVP1-JP029,nomal
機動要塞 メタル・ホールド,MVP1-JP030,nomal
光の護封霊剣,MVP1-JP031,nomal
方界胤ヴィジャム,MVP1-JP032,nomal
方界獣ダーク・ガネックス,MVP1-JP033,nomal
方界獣ブレード・ガルーディア,MVP1-JP034,nomal
方界超獣バスター・ガンダイル,MVP1-JP035,nomal
方界帝ゲイラ・ガイル,MVP1-JP036,nomal
方界帝ヴァルカン・ドラグニー,MVP1-JP037,nomal
方界超帝インディオラ・デス・ボルト,MVP1-JP038,nomal
暗黒方界神クリムゾン・ノヴァ,MVP1-JP039,nomal
暗黒方界邪神クリムゾン・ノヴァ・トリニティ,MVP1-JP040,nomal
方界業,MVP1-JP041,nomal
方界波動,MVP1-JP042,nomal
方界輪廻,MVP1-JP043,nomal
方界曼荼羅,MVP1-JP044,nomal
方界合神,MVP1-JP045,nomal
