name,card_id,rare
達人キョンシー,301-001,nomal
大くしゃみのカバザウルス,301-002,nomal
大木人１８,301-003,nomal
ダークジェロイド,301-004,Super
ニュードリュア,301-005,Super
地獄詩人ヘルポエマー,301-006,Ultra
地獄詩人ヘルポエマー,301-006,Parallel
墓守の偵察者,301-007,nomal
墓守の呪術師,301-008,nomal
墓守の番兵,301-009,nomal
墓守の長槍兵,301-010,nomal
墓守の従者,301-011,nomal
墓守の監視者,301-012,Rare
墓守の長,301-013,Super
墓守の大筒持ち,301-014,nomal
墓守の暗殺者,301-015,nomal
ウジャト眼を持つ男,301-016,nomal
ジャッカルの聖戦士,301-017,Ultra
ジャッカルの聖戦士,301-017,Parallel
不幸を告げる黒猫,301-018,nomal
黄泉へ渡る船,301-019,nomal
有翼賢者ファルコス,301-020,Rare
幸運を告げるフクロウ,301-021,nomal
シャブティのお守り,301-022,nomal
スネークポット,301-023,Rare
魂を削る死霊,301-024,nomal
ナイトメア・ホース,301-025,nomal
ナイトメアを駆る死霊,301-026,N-Rare
闇の指名者,301-027,Rare
ショット・ガン・シャッフル,301-028,nomal
名推理,301-029,nomal
悪夢の拷問部屋,301-030,Rare
タイムカプセル,301-031,nomal
王家の眠る谷－ネクロバレー,301-032,Ultra
王家の眠る谷－ネクロバレー,301-032,Parallel
バスターランチャー,301-033,nomal
ヒエログリフの石版,301-034,nomal
黒蛇病,301-035,nomal
テラ・フォーミング,301-036,nomal
勇気の旗印,301-037,nomal
突然変異,301-038,nomal
王家の生け贄,301-039,nomal
大逆転クイズ,301-040,nomal
棺桶売り,301-041,Super
老化の呪い,301-042,nomal
地獄の扉越し銃,301-043,nomal
サンダー・ブレイク,301-044,nomal
狭き通路,301-045,nomal
攪乱作戦,301-046,nomal
黒板消しの罠,301-047,Rare
降霊の儀式,301-048,nomal
絶対不可侵領域,301-049,nomal
竜の血族,301-050,nomal
溶岩魔神ラヴァ・ゴーレム,301-051,Secret
溶岩魔神ラヴァ・ゴーレム,301-051,Ultimate
バイサー・ショック,301-052,Secret
バイサー・ショック,301-052,Ultimate
クイズ,301-053,Secret
命の綱,301-054,Secret
拷問車輪,301-055,Secret
真紅眼の黒竜,301-056,Ultimate
