name,card_id,rare
グレムリン,RB-01,nomal
砦を守る翼竜,RB-02,nomal
デーモンの召喚,RB-03,Ultra
デーモンの召喚,RB-03,Parallel
岩窟魔人オーガ・ロック,RB-04,nomal
鎧蜥蜴,RB-05,nomal
キラー・ビー,RB-06,nomal
ラーバモス,RB-07,Rare
ハーピィ・レディ,RB-08,nomal
ハーピィ・レディ三姉妹,RB-09,Ultra
ハーピィ・レディ三姉妹,RB-09,Parallel
魔物の狩人,RB-10,nomal
進化の繭,RB-11,Rare
地を這うドラゴン,RB-12,nomal
鎧武者ゾンビ,RB-13,nomal
闇の仮面,RB-14,Rare
死の沈黙の天使 ドマ,RB-15,nomal
白い泥棒,RB-16,Rare
大王目玉,RB-17,Rare
ブラック・デーモンズ・ドラゴン,RB-18,Ultra
ブラック・デーモンズ・ドラゴン,RB-18,Parallel
仮面魔道士,RB-19,Rare
轟きの大海蛇,RB-20,nomal
水の踊り子,RB-21,nomal
陸戦型 バグロス,RB-22,nomal
プチモス,RB-23,nomal
万華鏡－華麗なる分身－,RB-24,Rare
雷魔神－サンガ,RB-25,Super
風魔神－ヒューガ,RB-26,Super
水魔神－スーガ,RB-27,Super
魔法のランプ,RB-28,nomal
鉄のサソリ,RB-29,nomal
エンゼル・イヤーズ,RB-30,nomal
レッグル,RB-31,nomal
ラージマウス,RB-32,nomal
レオグン,RB-33,nomal
ミスター・ボンバー,RB-34,Rare
人造人間７号,RB-35,nomal
聖なる魔術師,RB-36,Super
エンシェント・エルフ,RB-37,nomal
深海に潜むサメ,RB-38,nomal
神魚,RB-39,nomal
破壊のゴーレム,RB-40,nomal
雷神の怒り,RB-41,nomal
レインボー・フラワー,RB-42,nomal
モリンフェン,RB-43,nomal
メガ・サンダーボール,RB-44,nomal
舌魚,RB-45,nomal
裁きを下す女帝,RB-46,nomal
ペイルビースト,RB-47,nomal
でんきトカゲ,RB-48,nomal
ハンター・スパイダー,RB-49,nomal
古代のトカゲ戦士,RB-50,nomal
女王の影武者,RB-51,nomal
トレント,RB-52,nomal
ディスク・マジシャン,RB-53,nomal
ひょうすべ,RB-54,nomal
響女,RB-55,nomal
偽物のわな,RB-56,Rare
死者への手向け,RB-57,Super
魂の解放,RB-58,Rare
陽気な葬儀屋,RB-59,Rare
心変わり,RB-60,Ultra
心変わり,RB-60,Parallel
