name,card_id,rare
カオス・ソルジャー,15AY-JPA01,Ultra
カオス・ソルジャー −開闢の使者−,15AY-JPA02,Ultra
ブラック・マジシャン,15AY-JPA03,Ultra
ブラック・マジシャン・ガール,15AY-JPA04,Ultra
暗黒騎士ガイア,15AY-JPA05,Normal
デーモンの召喚,15AY-JPA06,Ultra
カース・オブ・ドラゴン,15AY-JPA07,Normal
カタパルト・タートル,15AY-JPA08,Normal
エルフの剣士,15AY-JPA09,Normal
砦を守る翼竜,15AY-JPA10,Normal
グレムリン,15AY-JPA11,Normal
ルイーズ,15AY-JPA12,Normal
グリフォール,15AY-JPA13,Normal
ホーリー・エルフ,15AY-JPA14,Normal
岩石の巨兵,15AY-JPA15,Normal
マンモスの墓場,15AY-JPA16,Normal
封印されしエクゾディア,15AY-JPA17,Ultra
封印されし者の右足,15AY-JPA18,Ultra
封印されし者の左足,15AY-JPA19,Ultra
封印されし者の右腕,15AY-JPA20,Ultra
封印されし者の左腕,15AY-JPA21,Ultra
クリボー,15AY-JPA22,Ultra
死者蘇生,15AY-JPA23,Normal
光の護封剣,15AY-JPA24,Ultra
死のマジック・ボックス,15AY-JPA25,Normal
洗脳−ブレインコントロール,15AY-JPA26,Normal
モンスター回収,15AY-JPA27,Normal
魔法効果の矢,15AY-JPA28,Normal
一角獣のホーン,15AY-JPA29,Normal
魔性の月,15AY-JPA30,Normal
燃えさかる大地,15AY-JPA31,Normal
増殖,15AY-JPA32,Ultra
機雷化,15AY-JPA33,Ultra
魔霧雨,15AY-JPA34,Normal
融合,15AY-JPA35,Normal
カオスの儀式,15AY-JPA36,Normal
聖なるバリア −ミラーフォース−,15AY-JPA37,Normal
マジカルシルクハット,15AY-JPA38,Normal
真実の眼,15AY-JPA39,Normal
シフトチェンジ,15AY-JPA40,Normal
竜騎士ガイア,15AY-JPA41,Ultra
超電磁タートル,15AY-JPA00,Secret
トークン,15AY-JPTKN,Ultra
カオス・ソルジャー,15AY-JPA01,Ultra
カオス・ソルジャー −開闢の使者−,15AY-JPA02,Ultra
ブラック・マジシャン,15AY-JPA03,Ultra
ブラック・マジシャン・ガール,15AY-JPA04,Ultra
暗黒騎士ガイア,15AY-JPA05,Normal
デーモンの召喚,15AY-JPA06,Ultra
カース・オブ・ドラゴン,15AY-JPA07,Normal
カタパルト・タートル,15AY-JPA08,Normal
エルフの剣士,15AY-JPA09,Normal
砦を守る翼竜,15AY-JPA10,Normal
グレムリン,15AY-JPA11,Normal
ルイーズ,15AY-JPA12,Normal
グリフォール,15AY-JPA13,Normal
ホーリー・エルフ,15AY-JPA14,Normal
岩石の巨兵,15AY-JPA15,Normal
マンモスの墓場,15AY-JPA16,Normal
封印されしエクゾディア,15AY-JPA17,Ultra
封印されし者の右足,15AY-JPA18,Ultra
封印されし者の左足,15AY-JPA19,Ultra
封印されし者の右腕,15AY-JPA20,Ultra
封印されし者の左腕,15AY-JPA21,Ultra
クリボー,15AY-JPA22,Ultra
死者蘇生,15AY-JPA23,Normal
光の護封剣,15AY-JPA24,Ultra
死のマジック・ボックス,15AY-JPA25,Normal
洗脳−ブレインコントロール,15AY-JPA26,Normal
モンスター回収,15AY-JPA27,Normal
魔法効果の矢,15AY-JPA28,Normal
一角獣のホーン,15AY-JPA29,Normal
魔性の月,15AY-JPA30,Normal
燃えさかる大地,15AY-JPA31,Normal
増殖,15AY-JPA32,Ultra
機雷化,15AY-JPA33,Ultra
魔霧雨,15AY-JPA34,Normal
融合,15AY-JPA35,Normal
カオスの儀式,15AY-JPA36,Normal
聖なるバリア −ミラーフォース−,15AY-JPA37,Normal
マジカルシルクハット,15AY-JPA38,Normal
真実の眼,15AY-JPA39,Normal
シフトチェンジ,15AY-JPA40,Normal
竜騎士ガイア,15AY-JPA41,Ultra
超電磁タートル,15AY-JPA00,Secret
トークン,15AY-JPTKN,Ultra
