name,card_id,rare
磁石の戦士マグネット・バルキリオン,15AY-JPB01,Ultra
ブラック・マジシャン,15AY-JPB02,Ultra
ブラック・マジシャン・ガール,15AY-JPB03,Ultra
バスター・ブレイダー,15AY-JPB04,Ultra
暗黒魔族ギルファー・デーモン,15AY-JPB05,Normal
ジャックス・ナイト,15AY-JPB06,Normal
クィーンズ・ナイト,15AY-JPB07,Normal
キングス・ナイト,15AY-JPB08,Normal
バフォメット,15AY-JPB09,Normal
幻獣王ガゼル,15AY-JPB10,Normal
磁石の戦士α,15AY-JPB11,Ultra
磁石の戦士β,15AY-JPB12,Ultra
磁石の戦士γ,15AY-JPB13,Ultra
ビッグ・シールド・ガードナー,15AY-JPB14,Normal
クリボー,15AY-JPB15,Normal
死者蘇生,15AY-JPB16,Normal
光の護封剣,15AY-JPB17,Normal
黒魔術のカーテン,15AY-JPB18,Normal
千本ナイフ,15AY-JPB19,Normal
魔術の呪文書,15AY-JPB20,Normal
ディメンション・マジック,15AY-JPB21,Normal
拡散する波動,15AY-JPB22,Normal
二重魔法,15AY-JPB23,Normal
エクトプラズマー,15AY-JPB24,Normal
ソウルテイカー,15AY-JPB25,Normal
強欲な壺,15AY-JPB26,Ultra
手札抹殺,15AY-JPB27,Normal
エクスチェンジ,15AY-JPB28,Normal
モンスター回収,15AY-JPB29,Normal
融合,15AY-JPB30,Ultra
融合解除,15AY-JPB31,Normal
増殖,15AY-JPB32,Normal
聖なるバリア −ミラーフォース−,15AY-JPB33,Ultra
マジカルシルクハット,15AY-JPB34,Ultra
魔法の筒,15AY-JPB35,Ultra
六芒星の呪縛,15AY-JPB36,Normal
光の封札剣,15AY-JPB37,Ultra
連鎖破壊,15AY-JPB38,Normal
魂の綱,15AY-JPB39,Normal
断頭台の惨劇,15AY-JPB40,Normal
有翼幻獣キマイラ,15AY-JPB41,Ultra
黒魔族復活の棺,15AY-JPB00,Secret
トークン,15AY-JPTKN,Ultra
磁石の戦士マグネット・バルキリオン,15AY-JPB01,Ultra
ブラック・マジシャン,15AY-JPB02,Ultra
ブラック・マジシャン・ガール,15AY-JPB03,Ultra
バスター・ブレイダー,15AY-JPB04,Ultra
暗黒魔族ギルファー・デーモン,15AY-JPB05,Normal
ジャックス・ナイト,15AY-JPB06,Normal
クィーンズ・ナイト,15AY-JPB07,Normal
キングス・ナイト,15AY-JPB08,Normal
バフォメット,15AY-JPB09,Normal
幻獣王ガゼル,15AY-JPB10,Normal
磁石の戦士α,15AY-JPB11,Ultra
磁石の戦士β,15AY-JPB12,Ultra
磁石の戦士γ,15AY-JPB13,Ultra
ビッグ・シールド・ガードナー,15AY-JPB14,Normal
クリボー,15AY-JPB15,Normal
死者蘇生,15AY-JPB16,Normal
光の護封剣,15AY-JPB17,Normal
黒魔術のカーテン,15AY-JPB18,Normal
千本ナイフ,15AY-JPB19,Normal
魔術の呪文書,15AY-JPB20,Normal
ディメンション・マジック,15AY-JPB21,Normal
拡散する波動,15AY-JPB22,Normal
二重魔法,15AY-JPB23,Normal
エクトプラズマー,15AY-JPB24,Normal
ソウルテイカー,15AY-JPB25,Normal
強欲な壺,15AY-JPB26,Ultra
手札抹殺,15AY-JPB27,Normal
エクスチェンジ,15AY-JPB28,Normal
モンスター回収,15AY-JPB29,Normal
融合,15AY-JPB30,Ultra
融合解除,15AY-JPB31,Normal
増殖,15AY-JPB32,Normal
聖なるバリア −ミラーフォース−,15AY-JPB33,Ultra
マジカルシルクハット,15AY-JPB34,Ultra
魔法の筒,15AY-JPB35,Ultra
六芒星の呪縛,15AY-JPB36,Normal
光の封札剣,15AY-JPB37,Ultra
連鎖破壊,15AY-JPB38,Normal
魂の綱,15AY-JPB39,Normal
断頭台の惨劇,15AY-JPB40,Normal
有翼幻獣キマイラ,15AY-JPB41,Ultra
黒魔族復活の棺,15AY-JPB00,Secret
トークン,15AY-JPTKN,Ultra
