name,card_id,rare
青眼の究極竜,15AX-JP000,Holographic
ブラック・マジシャン,15AX-JPY01,Secret
黒・爆・裂・破・魔・導,15AX-JPY02,Secret
永遠の魂,15AX-JPY03,Secret
黒魔族復活の棺,15AX-JPY04,nomal
暗黒騎士ガイア,15AX-JPY05,Secret
デーモンの召喚,15AX-JPY06,Secret
青眼の白龍,15AX-JPY07,Secret
ブラッド・ヴォルス,15AX-JPY08,nomal
ランプの魔精・ラ・ジーン,15AX-JPY09,nomal
黒の魔法神官,15AX-JPY10,Secret
モザイク・マンティコア,15AX-JPY11,nomal
ニュート,15AX-JPY12,nomal
死霊操りしパペットマスター,15AX-JPY13,nomal
万力魔神バイサー・デス,15AX-JPY14,nomal
ゲルニア,15AX-JPY15,nomal
ゴブリンゾンビ,15AX-JPY16,Secret
聖獣セルケト,15AX-JPY17,nomal
ゲート・ガーディアン,15AX-JPY18,nomal
オレイカルコス・シュノロス,15AX-JPY19,nomal
獣神機王バルバロスＵｒ,15AX-JPY20,nomal
神獣王バルバロス,15AX-JPY21,Secret
神機王ウル,15AX-JPY22,nomal
デモニック・モーター・Ω,15AX-JPY23,nomal
キャッスル・ゲート,15AX-JPY24,nomal
ゼータ・レティキュラント,15AX-JPY25,nomal
グリード・クエーサー,15AX-JPY26,nomal
森の番人グリーン・バブーン,15AX-JPY27,Secret
ミュータント・ハイブレイン,15AX-JPY28,nomal
デスサイズ・キラー,15AX-JPY29,nomal
パペット・キング,15AX-JPY30,nomal
ブラック・マジシャンズ・ナイト,15AX-JPY31,Secret
エメス・ザ・インフィニティ,15AX-JPY32,nomal
インフェルノ・ハンマー,15AX-JPY33,nomal
ツインヘデッド・ビースト,15AX-JPY34,nomal
電磁ミノ虫,15AX-JPY35,nomal
ガルマソード,15AX-JPY36,nomal
デビルズ・ミラー,15AX-JPY37,nomal
超魔導剣士－ブラック・パラディン,15AX-JPY38,Secret
アルカナ ナイトジョーカー,15AX-JPY39,Secret
ＸＹＺ－ドラゴン・キャノン,15AX-JPY40,nomal
ユニオン・アタック,15AX-JPY41,nomal
催眠術,15AX-JPY42,nomal
騎士の称号,15AX-JPY43,Secret
シャイン・キャッスル,15AX-JPY44,nomal
火器付機甲鎧,15AX-JPY45,nomal
痛魂の呪術,15AX-JPY46,nomal
セベクの祝福,15AX-JPY47,nomal
竜殺しの剣,15AX-JPY48,nomal
ガルマソードの誓い,15AX-JPY49,nomal
ハーピィの羽根帚,15AX-JPY50,Secret
破壊輪,15AX-JPY51,Secret
死のデッキ破壊ウイルス,15AX-JPY52,Secret
攻撃の無力化,15AX-JPY53,nomal
魔法除去細菌兵器,15AX-JPY54,nomal
硫酸のたまった落とし穴,15AX-JPY55,nomal
天狗のうちわ,15AX-JPY56,nomal
オシリスの天空竜,15AX-JPY57,Secret
オベリスクの巨神兵,15AX-JPY58,Secret
ラーの翼神竜,15AX-JPY59,Secret
