name,card_id,rare
ガガギゴ,305-001,nomal
異次元トレーナー,305-002,nomal
おジャマ・グリーン,305-003,nomal
デーモン・ソルジャー,305-004,nomal
地獄の番熊,305-005,nomal
言語道断侍,305-006,nomal
黒蠍－強力のゴーグ,305-007,nomal
黒蠍－棘のミーネ,305-008,nomal
迷犬マロン,305-009,N-Rare
偉大魔獣 ガーゼット,305-010,nomal
名工 虎鉄,305-011,nomal
強欲ゴブリン,305-012,nomal
地獄将軍・メフィスト,305-013,Rare
ヘルポーンデーモン,305-014,nomal
シャドウナイトデーモン,305-015,nomal
ダークビショップデーモン,305-016,Super
デスルークデーモン,305-017,nomal
インフェルノクインデーモン,305-018,Rare
ジェノサイドキングデーモン,305-019,Ultra
ジェノサイドキングデーモン,305-019,Parallel
ジェノサイドキングデーモン,305-019,Ultimate
迅雷の魔王－スカル・デーモン,305-020,Ultra
迅雷の魔王－スカル・デーモン,305-020,Parallel
メタル化寄生生物－ルナタイト,305-021,Rare
月読命,305-022,Rare
ムドラ,305-023,Super
ケルドウ,305-024,nomal
ケルベク,305-025,nomal
ゾルガ,305-026,nomal
アギド,305-027,nomal
伝説の爆炎使い,305-028,Super
闇の支配者－ゾーク,305-029,Ultra
闇の支配者－ゾーク,305-029,Parallel
魔法再生,305-030,nomal
墓穴の道連れ,305-031,nomal
灼熱の試練,305-032,nomal
奈落との契約,305-033,Rare
闇の支配者との契約,305-034,nomal
堕落,305-035,nomal
ディスカバード・アタック,305-036,nomal
ダグラの剣,305-037,nomal
終焉のカウントダウン,305-038,nomal
デーモンの宣告,305-039,nomal
黒蠍団召集,305-040,nomal
万魔殿－悪魔の巣窟－,305-041,nomal
生贄の祭壇,305-042,nomal
魂の氷結,305-043,nomal
血の刻印,305-044,nomal
必殺！黒蠍コンビネーション,305-045,Rare
デーモンの雄叫び,305-046,nomal
リバースダイス,305-047,nomal
呪術抹消,305-048,Super
炸裂装甲,305-049,nomal
希望の光,305-050,nomal
生贄の抱く爆弾,305-051,Secret
アヌビスの裁き,305-052,Secret
暗黒魔族ギルファー・デーモン,305-053,Ultimate
