name,card_id,rare
グレート・アンガス,303-001,nomal
アイツ,303-002,nomal
音速ダック,303-003,nomal
サファイアドラゴン,303-004,Super
アマゾネスの聖戦士,303-005,nomal
アマゾネスの格闘戦士,303-006,nomal
アマゾネスの剣士,303-007,Ultra
アマゾネスの剣士,303-007,Parallel
アマゾネスの吹き矢兵,303-008,nomal
アマゾネスペット虎,303-009,Rare
熟練の白魔導師,303-010,Super
熟練の黒魔術師,303-011,Super
見習い魔術師,303-012,Rare
執念深き老魔術師,303-013,nomal
カオス・マジシャン,303-014,Ultra
カオス・マジシャン,303-014,Parallel
魔法の操り人形,303-015,nomal
ピクシーナイト,303-016,nomal
魔導戦士 ブレイカー,303-017,Ultra
魔導戦士 ブレイカー,303-017,Parallel
魔草 マンドラゴラ,303-018,nomal
魔導サイエンティスト,303-019,nomal
王立魔法図書館,303-020,nomal
魔導アーマー エグゼ,303-021,Rare
同族感染ウィルス,303-022,nomal
デス・コアラ,303-023,nomal
黒蠍－罠はずしのクリフ,303-024,nomal
魔導雑貨商人,303-025,nomal
コイツ,303-026,nomal
ネコ耳族,303-027,N-Rare
絶対服従魔人,303-028,nomal
尾も白い黒猫,303-029,nomal
アマゾネスの呪詛師,303-030,nomal
カウンターマシンガンパンチ,303-031,nomal
ビッグバン・シュート,303-032,Rare
精神統一,303-033,nomal
マスドライバー,303-034,nomal
千里眼,303-035,nomal
竜破壊の証,303-036,nomal
壺盗み,303-037,nomal
我が身を盾に,303-038,nomal
魔導書整理,303-039,nomal
メガトン魔導キャノン,303-040,Rare
漆黒のパワーストーン,303-041,nomal
アマゾネスの弩弓隊,303-042,Super
救出劇,303-043,Rare
魔力枯渇,303-044,nomal
隠された魔導書,303-045,nomal
奇跡の復活,303-046,nomal
洗脳解除,303-047,nomal
武装解除,303-048,nomal
対抗魔術,303-049,nomal
生命力吸収魔術,303-050,nomal
超魔導剣士－ブラック・パラディン,303-051,Secret
超魔導剣士－ブラック・パラディン,303-051,Ultimate
二重魔法,303-052,Secret
拡散する波動,303-053,Secret
バスター・ブレイダー,303-054,Ultimate
